run,K,epoch,4분할,tops,clean_r,clean_몫,잡음누출,clean_배타성,보존율_15_40,R피크_진폭비
K4_seed42,4,48,True,enc3-enc2-enc4-enc1,0.7668182097205917,58.3285300780456,0.08065734902006373,58.24787272902554,0.48712867495193946,0.8252843704096566
K4_seed202,4,84,False,enc4-enc3-enc3-enc3,0.7483650415400357,55.10356116577045,0.24057024075668654,54.86299092501376,0.5443932408596837,0.872692004877313
K4_seed2026,4,178,False,enc4-enc1-enc1-enc1,0.6737855103821239,45.95446489402452,0.19504045634972234,45.759424437674795,0.843141348080383,1.0153185036908494
K8_seed42,8,88,False,enc4-enc3-enc3-enc3,0.6803294707150287,48.0155746967821,0.38615081687242253,47.62942387990968,0.5792624815255709,0.900775659195451
K8_seed202,8,57,False,enc7-enc5-enc5-enc6,0.6773270616847262,44.93342968777655,0.13081747021570125,44.80261221756085,0.6287776320713012,0.8962668926420501
K8_seed2026,8,46,False,enc4-enc3-enc6-enc3,0.7038299800941757,50.35975130906122,0.2624433896344696,50.09730791942675,0.568054555243626,0.8493364544603714
K16_seed42,16,81,False,enc1-enc11-enc2-enc2,0.4504231073464977,23.221281666880543,0.25962113204005993,22.961660534840483,0.44832249670795077,0.8009204512292443
K16_seed202,16,186,False,enc10-enc1-enc1-enc11,0.6153610860929275,40.43982846904545,0.25595768897697263,40.18387078006848,0.4876420708996041,0.8622494543838252
K16_seed2026,16,43,True,enc14-enc8-enc5-enc6,0.44149236564578226,22.514242664776603,0.27140713576818665,22.242835529008417,0.21355148939324453,0.7447332442662813
