인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.9185,0.0554,0.0926,0.0871,0.1053,0.0833,0.1161,0.0822
enc2,0.1253,0.1413,0.6427,0.2452,0.4126,0.2321,0.2919,0.2034
enc3,0.1044,0.1065,0.3432,0.2187,0.6655,0.2097,0.1954,0.1463
enc4,0.1336,0.1068,0.2837,0.1805,0.2204,0.1552,0.6809,0.1778
