인코더,배정참조,잔차유무_corr,잔차기여_RMS,성분_SD,잔차기여_비율
enc1,x_clean,0.1006,0.3453,0.2838,1.2167
enc2,bw,0.9969,0.0131,0.1145,0.1144
enc3,ma,0.9164,0.0405,0.1021,0.3966
enc4,em,0.9767,0.0304,0.1314,0.231
