대상,구분,집계분절,vlf,lf,qrs,hf
enc1,성분,900,0.017,0.3737,0.4252,0.1841
enc2,성분,900,0.7451,0.2427,0.0113,0.0009
enc3,성분,900,0.3952,0.3763,0.0357,0.1927
enc4,성분,900,0.1039,0.8178,0.0766,0.0017
x_clean,참조,900,0.034,0.3685,0.406,0.1916
bw,참조,900,0.8015,0.1862,0.0044,0.008
ma,참조,900,0.4841,0.3363,0.0238,0.1558
em,참조,900,0.167,0.712,0.1117,0.0093
입력 x_noisy,기준,900,0.1345,0.4125,0.3025,0.1504
M0 재구성,기준,900,0.135,0.4099,0.3045,0.1506
