순위,분절,분절점수,인코더,참조,corr,rmse_norm,mad
1,100_0109,0.8972,enc1,x_clean,0.9007,0.4457,1.2745
1,100_0109,0.8972,enc1,bw,0.1925,1.2708,8.0817
1,100_0109,0.8972,enc1,ma,0.2921,1.1898,7.8456
1,100_0109,0.8972,enc1,em,0.0923,1.3473,8.1442
1,100_0109,0.8972,enc2,x_clean,0.1441,1.3084,8.0911
1,100_0109,0.8972,enc2,bw,0.8844,0.4807,1.0635
1,100_0109,0.8972,enc2,ma,0.6359,0.8533,2.2823
1,100_0109,0.8972,enc2,em,0.033,1.4374,4.1223
1,100_0109,0.8972,enc3,x_clean,0.1194,1.3271,7.8173
1,100_0109,0.8972,enc3,bw,0.4278,1.0697,3.1273
1,100_0109,0.8972,enc3,ma,0.9237,0.3906,1.7243
1,100_0109,0.8972,enc3,em,0.09,1.3491,4.3412
1,100_0109,0.8972,enc4,x_clean,0.0775,1.3583,7.742
1,100_0109,0.8972,enc4,bw,0.2026,1.2628,3.9387
1,100_0109,0.8972,enc4,ma,0.2317,1.2396,3.6527
1,100_0109,0.8972,enc4,em,0.8799,0.49,1.8413
2,114_0043,0.8969,enc1,x_clean,0.8244,0.5926,1.8094
2,114_0043,0.8969,enc1,bw,0.4747,1.025,6.1022
2,114_0043,0.8969,enc1,ma,0.4098,1.0865,6.4176
2,114_0043,0.8969,enc1,em,0.1251,1.3228,7.7273
2,114_0043,0.8969,enc2,x_clean,0.0147,1.4246,8.2852
2,114_0043,0.8969,enc2,bw,0.9264,0.3836,1.7677
2,114_0043,0.8969,enc2,ma,0.7986,0.6346,3.0024
2,114_0043,0.8969,enc2,em,0.193,1.2704,4.3356
2,114_0043,0.8969,enc3,x_clean,0.0336,1.4378,8.1773
2,114_0043,0.8969,enc3,bw,0.8533,0.5417,1.8973
2,114_0043,0.8969,enc3,ma,0.95,0.3163,1.6421
2,114_0043,0.8969,enc3,em,0.1894,1.2733,4.2965
2,114_0043,0.8969,enc4,x_clean,0.0225,1.43,7.3503
2,114_0043,0.8969,enc4,bw,0.0032,1.4164,4.7357
2,114_0043,0.8969,enc4,ma,0.0264,1.3954,4.2041
2,114_0043,0.8969,enc4,em,0.8867,0.4761,1.7237
3,114_0017,0.8892,enc1,x_clean,0.9467,0.3265,1.5114
3,114_0017,0.8892,enc1,bw,0.1172,1.3288,7.972
3,114_0017,0.8892,enc1,ma,0.0655,1.3671,8.4901
3,114_0017,0.8892,enc1,em,0.009,1.4078,8.2821
3,114_0017,0.8892,enc2,x_clean,0.0304,1.4356,8.1225
3,114_0017,0.8892,enc2,bw,0.9338,0.3638,1.8988
3,114_0017,0.8892,enc2,ma,0.0987,1.3426,5.2277
3,114_0017,0.8892,enc2,em,0.0467,1.4468,4.8445
3,114_0017,0.8892,enc3,x_clean,0.0338,1.3901,8.3863
3,114_0017,0.8892,enc3,bw,0.1778,1.2824,4.894
3,114_0017,0.8892,enc3,ma,0.8181,0.6032,2.1379
3,114_0017,0.8892,enc3,em,0.0412,1.3848,5.3038
3,114_0017,0.8892,enc4,x_clean,0.0331,1.3906,8.1667
3,114_0017,0.8892,enc4,bw,0.123,1.3244,4.4305
3,114_0017,0.8892,enc4,ma,0.0116,1.4224,6.5186
3,114_0017,0.8892,enc4,em,0.8581,0.5327,1.97
