인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,1.6613,0.6302,8.0437,1.0694,7.7748,1.0582,7.7069,1.0159
enc2,7.6143,1.2729,2.0876,0.7466,3.5431,0.9638,4.0299,0.8568
enc3,7.4385,1.3308,4.0422,1.0359,2.9114,0.9778,4.575,0.792
enc4,7.2346,1.2529,4.1466,0.8015,4.3907,0.7682,2.7134,0.7547
