인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.3878,0.1129,1.3498,0.0766,1.3409,0.0698,1.3304,0.0687
enc2,1.3278,0.1282,0.825,0.3393,1.1173,0.2917,1.2152,0.2272
enc3,1.3625,0.104,1.2045,0.2725,0.7902,0.265,1.3089,0.1618
enc4,1.3158,0.088,1.2049,0.1828,1.2607,0.1524,0.7713,0.216
