인코더,x_clean,bw,ma,em,x_clean_sd,bw_sd,ma_sd,em_sd
enc1,0.98,0.0603,0.0658,0.1368,0.0199,0.0459,0.0499,0.0907
enc2,0.234,0.0594,0.0719,0.1528,0.1227,0.0463,0.056,0.0973
enc3,0.247,0.0742,0.2939,0.301,0.1411,0.0571,0.1596,0.1185
enc4,0.1796,0.0637,0.0782,0.6584,0.1263,0.0512,0.0602,0.1627
