인코더,배정참조,corr,corr_sd,rmse_norm,mad,r_QRS,F1,누출_최대참조,누출_corr,누출비
enc1,x_clean,0.9185,0.0554,0.3878,1.6613,0.98,0.9678,em,0.1161,0.1264
enc2,bw,0.6427,0.2452,0.825,2.0876,0.0594,0.5202,ma,0.4126,0.6421
enc3,ma,0.6655,0.2097,0.7902,2.9114,0.2939,0.3095,bw,0.3432,0.5157
enc4,em,0.6809,0.1778,0.7713,2.7134,0.6584,0.1925,bw,0.2837,0.4166
