,x_clean,bw,ma,em,energy_ratio
enc0,0.06018256902694702,0.3152130508422852,0.26894933700561524,0.18205358505249022,0.15307455545587423
enc1,0.04708695411682129,0.2872689342498779,0.2370166778564453,0.15993257522583007,0.22030290439164144
enc2,0.07919290542602539,0.6018150520324707,0.44221546173095705,0.28053300857543945,0.07610418772668981
enc3,0.043959184885025024,0.19013038635253907,0.16341795444488524,0.24794254302978516,0.20162810993659133
enc4,0.044229254722595215,0.19657814979553223,0.15610694885253906,0.12996522903442384,0.0018652265804596643
enc5,0.058802568912506105,0.2384459114074707,0.22914040565490723,0.15073710918426514,0.12940448735832302
enc6,0.053157637119293215,0.2726676082611084,0.21756811141967775,0.15821267127990724,0.02372119633887208
enc7,0.04944565773010254,0.25200773239135743,0.1939415740966797,0.15007150173187256,0.19389933221154834
