방식,분절수,corr,corr_sd,SSD,SSD_평균,RMSE,SNR_dB,dSNR_vs_입력,MAD,PRD,CosSim
A 성분차감,900,0.9054,0.0627,48.1632,115.566,0.1792,7.2758,6.4773,0.4152,27.7483,0.9641
B 심장직접,900,0.9178,0.0552,44.6293,111.2726,0.1758,7.6002,6.9457,0.4275,25.9948,0.9696
C 마스킹디코드,900,0.9178,0.0552,44.6293,111.2726,0.1758,7.6002,6.9457,0.4275,25.9948,0.9696
a 입력 x_noisy,900,0.7358,0.1018,229.86,419.507,0.3414,0.5623,0.0,0.8082,56.9937,0.8746
b M0 재구성,900,0.7346,0.1019,215.438,396.8882,0.332,0.8114,0.2654,0.7842,55.2762,0.8767
