기록,ST60_mV_처리전,ST60_mV_처리후,ST80_mV_처리전,ST80_mV_처리후,QT_ms_처리전,QT_ms_처리후,QTc_ms_처리전,QTc_ms_처리후,R진폭_mV_처리전,R진폭_mV_처리후,QRS면적_mVms_처리전,QRS면적_mVms_처리후
100,0.06739,0.09563,0.07147,0.09281,61.11111,88.88889,68.68296,97.69911,0.03866,0.07682,1.59486,2.28575
114,0.13141,0.06199,0.1362,0.0669,61.11111,88.88889,63.27138,92.56135,0.07238,0.12671,2.33097,5.30183
123,0.10037,0.10546,0.10488,0.08038,72.22222,105.55556,67.68085,100.91708,0.0579,0.14864,1.64113,4.07213
201,0.06741,0.03575,0.0706,0.03852,63.88889,58.33333,69.60243,63.47886,0.03474,0.05902,1.63857,2.49888
219,0.18965,0.06648,0.18656,0.07339,108.33333,147.22222,117.30947,151.46419,0.10431,0.11906,3.91307,4.50989
