지표,박동수,참값_중앙,처리전_값중앙,처리전_편향중앙,처리전_절대오차중앙,처리전_절대오차평균,처리전_절대오차_p90,처리후_값중앙,처리후_편향중앙,처리후_절대오차중앙,처리후_절대오차평균,처리후_절대오차_p90,오차축소_중앙,개선된_박동비율
ST60_mV,8988,-0.05033,-0.06718,0.0008,0.10039,0.15564,0.35441,-0.08036,0.01168,0.07004,0.08109,0.15555,0.03035,0.62472
ST80_mV,8988,-0.04733,-0.06844,0.00175,0.10488,0.16174,0.36793,-0.07264,0.0109,0.07048,0.08053,0.15385,0.03439,0.63963
QT_ms,5630,411.11111,355.55556,-19.44444,66.66667,93.04369,227.77778,419.44444,5.55556,86.11111,111.11044,252.77778,-19.44444,0.19181
QTc_ms,5017,434.14425,376.52203,-18.3324,69.72167,98.14063,246.33836,411.30499,9.15186,91.77917,118.47353,273.69689,-22.0575,0.16945
R진폭_mV,8988,1.90717,1.86103,-0.00472,0.05614,0.09824,0.22486,1.82502,-0.03829,0.0975,0.12232,0.25099,-0.04136,0.37405
QRS면적_mVms,8988,59.41852,60.99345,1.54506,2.06681,4.57813,10.59532,55.64823,-1.30254,3.40495,4.55959,9.64703,-1.33814,0.40376
