방식,분절수,corr,corr_sd,SSD,SSD_평균,RMSE,SNR_dB,dSNR_vs_입력,MAD,PRD,CosSim
A 성분차감,900,0.8987,0.0666,50.5594,123.65,0.1853,6.9532,6.341,0.47,29.1462,0.96
B 심장직접,900,0.9013,0.0563,62.2302,127.6573,0.1883,6.5309,5.8028,0.5459,27.9278,0.9643
C 마스킹디코드,900,0.9013,0.0563,62.2302,127.6573,0.1883,6.5309,5.8028,0.5459,27.9278,0.9643
a 입력 x_noisy,900,0.7358,0.1018,229.86,419.507,0.3414,0.5623,0.0,0.8082,56.9937,0.8746
b M0 재구성,900,0.718,0.1042,224.4726,413.6685,0.339,0.6973,0.097,0.7871,55.7623,0.8703
