방식,분절수,corr,corr_sd,SSD,SSD_평균,RMSE,SNR_dB,dSNR_vs_입력,MAD,PRD,CosSim
A 성분차감,900,0.8868,0.0709,58.0514,136.0697,0.1944,6.3139,5.8129,0.4883,30.3404,0.9561
B 심장직접,900,0.8953,0.0588,60.9642,135.9271,0.1943,6.4047,5.7137,0.6416,29.16,0.9607
C 마스킹디코드,900,0.8953,0.0588,60.9642,135.9271,0.1943,6.4047,5.7137,0.6416,29.16,0.9607
a 입력 x_noisy,900,0.7358,0.1018,229.86,419.507,0.3414,0.5623,0.0,0.8082,56.9937,0.8746
b M0 재구성,900,0.732,0.0996,210.0402,370.2888,0.3207,0.9739,0.4476,0.7929,54.8558,0.8795
