인코더,x_clean,bw,ma,em,x_clean_sd,bw_sd,ma_sd,em_sd
enc1,0.9751,0.0582,0.0537,0.0881,0.0149,0.0455,0.0431,0.0686
enc2,0.1211,0.0597,0.0633,0.0697,0.0828,0.0471,0.0526,0.0549
enc3,0.2336,0.0614,0.1579,0.101,0.0909,0.0472,0.1071,0.0646
enc4,0.2309,0.0676,0.084,0.6231,0.1467,0.0547,0.0605,0.1787
