인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.9091,0.0577,0.0917,0.0802,0.1019,0.0761,0.1203,0.0823
enc2,0.1286,0.1488,0.6496,0.2482,0.4227,0.2347,0.2991,0.2077
enc3,0.122,0.1259,0.3931,0.2279,0.6251,0.219,0.2118,0.1565
enc4,0.171,0.1152,0.3132,0.1916,0.2465,0.1679,0.658,0.188
