인코더,배정참조,corr,corr_sd,rmse_norm,mad,r_QRS,F1,누출_최대참조,누출_corr,누출비
enc1,x_clean,0.9013,0.0563,0.4309,1.9727,0.9736,0.9857,em,0.1047,0.1161
enc2,bw,0.6465,0.2452,0.82,2.0664,0.0618,0.0237,ma,0.4124,0.638
enc3,ma,0.6181,0.2227,0.8468,3.0948,0.0515,0.0572,bw,0.4045,0.6543
enc4,em,0.6684,0.1857,0.7868,2.7682,0.6039,0.1112,bw,0.3009,0.4501
