인코더,x_clean,bw,ma,em,x_clean_sd,bw_sd,ma_sd,em_sd
enc1,0.9736,0.0585,0.0526,0.0756,0.0157,0.0455,0.0419,0.0601
enc2,0.0783,0.0618,0.0511,0.1004,0.0593,0.0496,0.0454,0.0723
enc3,0.1744,0.0603,0.0515,0.1294,0.087,0.0466,0.0462,0.0942
enc4,0.1499,0.0623,0.0502,0.6039,0.1247,0.0491,0.0423,0.1778
