인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.4309,0.1084,1.3517,0.0691,1.3483,0.0638,1.34,0.0662
enc2,1.3323,0.1297,0.82,0.3409,1.1149,0.291,1.2187,0.2262
enc3,1.3384,0.1172,1.1318,0.2949,0.8468,0.266,1.2849,0.1761
enc4,1.3113,0.0928,1.1882,0.1979,1.2495,0.1624,0.7868,0.2247
