인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,1.9727,0.6165,8.1072,1.0324,7.8379,1.023,7.7233,1.0314
enc2,7.7502,1.2914,2.0664,0.7429,3.5419,0.9586,4.0319,0.8545
enc3,7.4905,1.2905,2.9074,0.791,3.0948,0.8374,4.0916,0.6765
enc4,7.3105,1.2624,4.0505,0.8623,4.3756,0.7631,2.7682,0.736
