인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.9013,0.0563,0.0902,0.0794,0.0959,0.0751,0.1047,0.0782
enc2,0.1214,0.1421,0.6465,0.2452,0.4124,0.2343,0.2879,0.2028
enc3,0.1171,0.1279,0.4045,0.2318,0.6181,0.2227,0.2196,0.1596
enc4,0.1396,0.1115,0.3009,0.1935,0.2318,0.1658,0.6684,0.1857
