기록,ST60_mV_처리전,ST60_mV_처리후,ST80_mV_처리전,ST80_mV_처리후,QT_ms_처리전,QT_ms_처리후,QTc_ms_처리전,QTc_ms_처리후,R진폭_mV_처리전,R진폭_mV_처리후,QRS면적_mVms_처리전,QRS면적_mVms_처리후
100,0.06739,0.05726,0.07147,0.05734,61.11111,44.44444,68.68296,50.03934,0.03866,0.13475,1.59486,1.81197
114,0.13141,0.05858,0.1362,0.06301,61.11111,91.66667,63.27138,95.28056,0.07238,0.14237,2.33097,3.82068
123,0.10037,0.05668,0.10488,0.08069,72.22222,254.16667,67.68085,234.94858,0.0579,0.07192,1.64113,3.49916
201,0.06741,0.05885,0.0706,0.06699,63.88889,52.77778,69.60243,57.14396,0.03474,0.0494,1.63857,2.18005
219,0.18965,0.08886,0.18656,0.0847,108.33333,105.55556,117.30947,122.40208,0.10431,0.11409,3.91307,4.03442
