epoch,train_total,train_recon,train_mixing,train_zero_recon,train_z_l2,val_recon,val_separation,sep_base,n_dup,tops,clean_max_corr,max_pair_corr,min_energy_ratio,n_dead,lr,sec,corr_e0_x_clean,corr_e1_x_clean,corr_e2_x_clean,corr_e3_x_clean,corr_e0_bw,corr_e1_bw,corr_e2_bw,corr_e3_bw,corr_e0_ma,corr_e1_ma,corr_e2_ma,corr_e3_ma,corr_e0_em,corr_e1_em,corr_e2_em,corr_e3_em
1,0.3295561599990596,0.311594400068988,1.5379840239234592,0.12529963030196403,1.3289284084154211,0.15110666684751156,-0.11558250784873958,0.3344174921512604,3,1111,0.11643950641155243,0.6680532693862915,0.07172106206417084,0,0.001,3.6757853031158447,0.10900263488292694,0.11643950641155243,0.10154709219932556,0.0912882536649704,0.4565220773220062,0.5632254481315613,0.38023343682289124,0.40827476978302,0.3604825735092163,0.40428078174591064,0.28899866342544556,0.3451577425003052,0.2150835543870926,0.25372424721717834,0.18000099062919617,0.20723357796669006
2,0.22251130057417828,0.20546949622423752,1.5270888753559277,0.026336099633582584,1.507553774377574,0.1483157484266493,-0.12598348855972286,0.3240165114402771,3,1111,0.118459552526474,0.6647491455078125,0.0309384074062109,0,0.001,3.2177810668945312,0.11034361273050308,0.118459552526474,0.09071283787488937,0.09129992127418518,0.45406126976013184,0.53642737865448,0.3491450250148773,0.3284459412097931,0.36088627576828003,0.3952440023422241,0.295065313577652,0.32558518648147583,0.21022720634937286,0.24593514204025269,0.16958680748939514,0.17819634079933167
3,0.20206258478371994,0.18567858377228613,1.5084521666817043,0.004211171303683406,1.2573668645775837,0.1285496939199942,0.05399436950683595,0.35399436950683594,2,2111,0.12304910272359848,0.6702682375907898,0.08467802405357361,0,0.001,3.2435262203216553,0.11353049427270889,0.11840006709098816,0.12304910272359848,0.10201508551836014,0.46343863010406494,0.5802422165870667,0.4501904845237732,0.4899260401725769,0.3754003345966339,0.4481589198112488,0.44279488921165466,0.42250746488571167,0.21778665482997894,0.2645273804664612,0.22508181631565094,0.23756448924541473
4,0.1985617837180262,0.18264448901881342,1.4835745562677798,0.004156395539884334,1.0399862942488298,0.12019009286385995,0.06266756057739259,0.3626675605773926,2,2112,0.12912100553512573,0.6285669803619385,0.11270852386951447,0,0.001,3.234372615814209,0.1126815527677536,0.12031979113817215,0.12912100553512573,0.10148768126964569,0.43858960270881653,0.5665724277496338,0.33741867542266846,0.4724116921424866,0.3906843662261963,0.4610835015773773,0.330775648355484,0.43124186992645264,0.20987986028194427,0.26153382658958435,0.29389330744743347,0.23157599568367004
5,0.181669554632643,0.16612191951793173,1.4592947648919148,0.0027087016927037876,0.9276031670363053,0.10731128155743634,0.08229429721832277,0.38229429721832275,2,2112,0.13808035850524902,0.6477819681167603,0.08211024850606918,0,0.001,3.2187511920928955,0.11418353766202927,0.12178901582956314,0.13808035850524902,0.10566335916519165,0.43172839283943176,0.5714764595031738,0.2803579568862915,0.47892171144485474,0.38064995408058167,0.4481150209903717,0.269144207239151,0.4263351559638977,0.21527357399463654,0.2671131193637848,0.3715053200721741,0.23799215257167816
6,0.17330970777117688,0.15818650502225626,1.4313787170078442,0.0011123413430101684,0.7982914758765179,0.11225883201316551,0.0868866264820099,0.3868866264820099,2,2112,0.16392327845096588,0.6369814872741699,0.06555014848709106,0,0.001,3.2122488021850586,0.12130141258239746,0.12469272315502167,0.16392327845096588,0.10149328410625458,0.43247073888778687,0.5869076251983643,0.21401429176330566,0.4036474823951721,0.37837210297584534,0.46108049154281616,0.22872060537338257,0.38538262248039246,0.2223588079214096,0.2748553156852722,0.33563509583473206,0.2051055133342743
7,0.16807782649993896,0.15328457627607428,1.4031236171722412,0.0031840153792670562,0.7301778015883073,0.10696788194444444,0.09206090569496156,0.39206090569496155,2,2112,0.17221488058567047,0.7071546912193298,0.10806547105312347,0,0.001,3.2495858669281006,0.12209487706422806,0.12461330741643906,0.17221488058567047,0.10581839084625244,0.4698672592639923,0.5774703621864319,0.17995141446590424,0.4455428123474121,0.4080847501754761,0.46242809295654297,0.20135007798671722,0.4190179705619812,0.23650731146335602,0.2778799533843994,0.3561302125453949,0.22620905935764313
8,0.16136430592640585,0.14686457683210788,1.376985409985418,0.001228960547292524,0.7175863229710123,0.10412932219328704,0.06968094110488893,0.3696809411048889,2,2112,0.17810294032096863,0.5936146378517151,0.05775441229343414,0,0.001,3.2340128421783447,0.1141194999217987,0.11955466866493225,0.17810294032096863,0.1057862788438797,0.38802358508110046,0.5728587508201599,0.1632697880268097,0.4654441177845001,0.3390978276729584,0.4327112138271332,0.17054830491542816,0.4070831835269928,0.20788919925689697,0.2670728862285614,0.29505085945129395,0.23065750300884247
9,0.15165710125280463,0.13742056262233984,1.353516936302185,0.0008129278190292256,0.6932397484779358,0.09543992332175925,0.09178004860877992,0.3917800486087799,2,2112,0.23307189345359802,0.6646474003791809,0.08853033185005188,0,0.001,3.244054079055786,0.11864712089300156,0.12529155611991882,0.23307189345359802,0.10674749314785004,0.4327525496482849,0.5768165588378906,0.11978413164615631,0.4643649756908417,0.3662099838256836,0.4545019268989563,0.12651175260543823,0.42637428641319275,0.22268827259540558,0.2779473066329956,0.3027297556400299,0.23331165313720703
10,0.14271885739720386,0.12870962561472601,1.3317779717238054,0.0011054028341870594,0.6803979795912037,0.09909532448097512,0.0976687788963318,0.3976687788963318,2,2111,0.28580838441848755,0.6354474425315857,0.11031582951545715,0,0.001,3.2696313858032227,0.12919263541698456,0.1284237802028656,0.28580838441848755,0.10877161473035812,0.4058918356895447,0.5630273222923279,0.06429760158061981,0.47485941648483276,0.38448405265808105,0.4496139883995056,0.06941317766904831,0.4329564869403839,0.24357342720031738,0.29222533106803894,0.22738796472549438,0.23799823224544525
11,0.13729363712279694,0.12340888737336449,1.3157668113708496,0.00395920443976217,0.68748648788618,0.09693417019314236,0.22709224224090577,0.37709224224090576,1,2131,0.2624131143093109,0.4990609288215637,0.11018480360507965,0,0.001,3.384000778198242,0.11785776168107986,0.12497280538082123,0.2624131143093109,0.11151072382926941,0.3182132840156555,0.5185820460319519,0.05534263700246811,0.46375444531440735,0.30714693665504456,0.4127867519855499,0.0548233799636364,0.42680624127388,0.2239997684955597,0.3005675971508026,0.13543884456157684,0.23855473101139069
12,0.12978731192972348,0.11604223108809927,1.3025350000547327,0.001500646900081926,0.7047264446382937,0.07999802200882523,0.12370933294296266,0.42370933294296265,2,2111,0.3593352735042572,0.5923688411712646,0.10020904242992401,0,0.001,3.4112329483032227,0.12490081787109375,0.12876811623573303,0.3593352735042572,0.11473056674003601,0.36250707507133484,0.5578116178512573,0.03442908823490143,0.46191003918647766,0.3414625823497772,0.4512158930301666,0.040271367877721786,0.4347347915172577,0.27606555819511414,0.32647448778152466,0.17782250046730042,0.247841939330101
13,0.11801642471033594,0.10443686596725298,1.2872934548751167,0.0006755871961460165,0.6998679560163746,0.07397385208695023,0.28730074167251585,0.43730074167251587,1,2131,0.4477413296699524,0.626100480556488,0.09356599301099777,0,0.001,3.4049506187438965,0.12958964705467224,0.13182786107063293,0.4477413296699524,0.11803801357746124,0.35575753450393677,0.5379663109779358,0.039542995393276215,0.4646410048007965,0.324066698551178,0.4307996928691864,0.039677105844020844,0.4334270656108856,0.29363346099853516,0.3300682306289673,0.10835686326026917,0.24864602088928223
14,0.10808629639770674,0.09467806667089462,1.271471153134885,0.0011803718352103201,0.6817124796950299,0.06570149852611401,0.1674685597419739,0.4674685597419739,2,2111,0.5561293363571167,0.6120100021362305,0.10952994227409363,0,0.001,3.3715336322784424,0.13094162940979004,0.1316189169883728,0.5561293363571167,0.11967364698648453,0.3594185709953308,0.5423718094825745,0.04266337677836418,0.4728333055973053,0.321115106344223,0.43740156292915344,0.04167540371417999,0.4360775351524353,0.2973015010356903,0.3339715600013733,0.08992810547351837,0.25570717453956604
