인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,1.6503,0.594,8.1033,1.0578,7.7929,1.0568,7.7333,1.0202
enc2,7.7088,1.3332,2.0987,0.7722,3.5644,0.978,4.0643,0.8645
enc3,7.4839,1.2592,4.0491,1.0476,2.8264,0.9336,4.565,0.8149
enc4,7.3614,1.3264,4.0845,0.8159,4.3664,0.7227,2.7098,0.7177
