인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.9204,0.0552,0.082,0.0757,0.099,0.0788,0.1128,0.08
enc2,0.117,0.1402,0.6488,0.2444,0.4076,0.2324,0.2865,0.2025
enc3,0.1018,0.1064,0.3563,0.218,0.6736,0.209,0.1959,0.1481
enc4,0.1215,0.1129,0.2884,0.1876,0.2183,0.1568,0.6752,0.1837
