인코더,배정참조,잔차유무_corr,잔차기여_RMS,성분_SD,잔차기여_비율
enc1,x_clean,0.0948,0.4191,0.2927,1.4317
enc2,bw,0.9969,0.0171,0.1224,0.1394
enc3,ma,0.919,0.0422,0.1061,0.3978
enc4,em,0.97,0.0531,0.1343,0.3956
