대상,구분,집계분절,vlf,lf,qrs,hf
enc1,성분,900,0.0153,0.3723,0.4317,0.1807
enc2,성분,900,0.7166,0.2694,0.0121,0.0019
enc3,성분,900,0.4043,0.3734,0.0337,0.1886
enc4,성분,900,0.1118,0.8087,0.0775,0.002
x_clean,참조,900,0.034,0.3685,0.406,0.1916
bw,참조,900,0.8015,0.1862,0.0044,0.008
ma,참조,900,0.4841,0.3363,0.0238,0.1558
em,참조,900,0.167,0.712,0.1117,0.0093
입력 x_noisy,기준,900,0.1345,0.4125,0.3025,0.1504
M0 재구성,기준,900,0.1332,0.4094,0.3036,0.1537
