순위,분절,분절점수,인코더,참조,corr,rmse_norm,mad
1,219_0104,0.9038,enc1,x_clean,0.9007,0.4456,1.6727
1,219_0104,0.9038,enc1,bw,0.3387,1.1501,5.9956
1,219_0104,0.9038,enc1,ma,0.1762,1.2836,6.3683
1,219_0104,0.9038,enc1,em,0.4213,1.0758,6.1595
1,219_0104,0.9038,enc2,x_clean,0.3639,1.1279,6.4858
1,219_0104,0.9038,enc2,bw,0.8564,0.536,1.3176
1,219_0104,0.9038,enc2,ma,0.2192,1.2496,5.5755
1,219_0104,0.9038,enc2,em,0.4897,1.0103,3.7165
1,219_0104,0.9038,enc3,x_clean,0.2565,1.2194,5.5203
1,219_0104,0.9038,enc3,bw,0.0123,1.4055,6.6708
1,219_0104,0.9038,enc3,ma,0.9409,0.3439,1.4543
1,219_0104,0.9038,enc3,em,0.2268,1.2436,4.7305
1,219_0104,0.9038,enc4,x_clean,0.363,1.1287,5.8717
1,219_0104,0.9038,enc4,bw,0.4262,1.0712,3.4597
1,219_0104,0.9038,enc4,ma,0.1884,1.274,4.3339
1,219_0104,0.9038,enc4,em,0.9173,0.4066,1.4663
2,100_0008,0.8955,enc1,x_clean,0.9454,0.3306,1.4881
2,100_0008,0.8955,enc1,bw,0.1504,1.3035,8.8822
2,100_0008,0.8955,enc1,ma,0.1693,1.289,8.5767
2,100_0008,0.8955,enc1,em,0.1544,1.3005,8.2803
2,100_0008,0.8955,enc2,x_clean,0.0148,1.4247,9.9585
2,100_0008,0.8955,enc2,bw,0.9403,0.3456,0.9074
2,100_0008,0.8955,enc2,ma,0.1024,1.3398,4.61
2,100_0008,0.8955,enc2,em,0.4451,1.0535,3.8796
2,100_0008,0.8955,enc3,x_clean,0.1194,1.3271,7.9547
2,100_0008,0.8955,enc3,bw,0.2456,1.2283,4.3958
2,100_0008,0.8955,enc3,ma,0.8579,0.5331,2.6216
2,100_0008,0.8955,enc3,em,0.0318,1.3915,5.1657
2,100_0008,0.8955,enc4,x_clean,0.0131,1.4235,8.7011
2,100_0008,0.8955,enc4,bw,0.5455,0.9534,3.3132
2,100_0008,0.8955,enc4,ma,0.1144,1.3309,4.4871
2,100_0008,0.8955,enc4,em,0.8385,0.5683,3.2942
3,114_0043,0.8946,enc1,x_clean,0.8962,0.4556,1.6967
3,114_0043,0.8946,enc1,bw,0.3112,1.1737,6.2894
3,114_0043,0.8946,enc1,ma,0.283,1.1975,6.6968
3,114_0043,0.8946,enc1,em,0.0508,1.3779,7.3318
3,114_0043,0.8946,enc2,x_clean,0.0079,1.4198,7.9673
3,114_0043,0.8946,enc2,bw,0.9352,0.3601,1.7561
3,114_0043,0.8946,enc2,ma,0.8325,0.5788,2.8289
3,114_0043,0.8946,enc2,em,0.1996,1.2652,4.3415
3,114_0043,0.8946,enc3,x_clean,0.0299,1.4352,7.7301
3,114_0043,0.8946,enc3,bw,0.7796,0.6639,2.1765
3,114_0043,0.8946,enc3,ma,0.8884,0.4724,1.9653
3,114_0043,0.8946,enc3,em,0.2228,1.2467,4.0813
3,114_0043,0.8946,enc4,x_clean,0.0342,1.4382,7.1209
3,114_0043,0.8946,enc4,bw,0.0075,1.4089,4.5649
3,114_0043,0.8946,enc4,ma,0.0554,1.3745,4.0444
3,114_0043,0.8946,enc4,em,0.8586,0.5318,1.762
