인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.3827,0.1133,1.3585,0.0662,1.3448,0.0654,1.3329,0.067
enc2,1.3384,0.1291,0.8179,0.3435,1.1244,0.2928,1.2235,0.2289
enc3,1.3591,0.1003,1.2026,0.2843,0.7774,0.2632,1.3073,0.163
enc4,1.3289,0.0964,1.2019,0.1914,1.2633,0.155,0.7778,0.221
