인코더,x_clean,bw,ma,em,x_clean_sd,bw_sd,ma_sd,em_sd
enc1,0.9798,0.0604,0.0666,0.1372,0.0189,0.0461,0.0511,0.0898
enc2,0.1879,0.0624,0.0702,0.1176,0.1169,0.0472,0.0587,0.0848
enc3,0.2012,0.0777,0.3075,0.3273,0.1194,0.0597,0.1613,0.1163
enc4,0.1364,0.063,0.0774,0.6474,0.1197,0.0494,0.0563,0.1686
