지표,박동수,참값_중앙,처리전_값중앙,처리전_편향중앙,처리전_절대오차중앙,처리전_절대오차평균,처리전_절대오차_p90,처리후_값중앙,처리후_편향중앙,처리후_절대오차중앙,처리후_절대오차평균,처리후_절대오차_p90,오차축소_중앙,개선된_박동비율
ST60_mV,8988,-0.05033,-0.06718,0.0008,0.10039,0.15564,0.35441,-0.10921,-0.00139,0.06747,0.09119,0.20411,0.03292,0.61104
ST80_mV,8988,-0.04733,-0.06844,0.00175,0.10488,0.16174,0.36793,-0.10519,0.0098,0.08136,0.10182,0.2129,0.02352,0.58211
QT_ms,5630,411.11111,355.55556,-19.44444,66.66667,93.04369,227.77778,480.55556,130.55556,161.11111,169.34913,325.0,-94.44444,0.13362
QTc_ms,5017,434.14425,376.52203,-18.3324,69.72167,98.14063,246.33836,510.21315,145.23181,181.07326,186.66355,364.5728,-111.35159,0.11682
R진폭_mV,8988,1.90717,1.86103,-0.00472,0.05614,0.09824,0.22486,1.70345,-0.12519,0.17177,0.2104,0.41514,-0.11563,0.24533
QRS면적_mVms,8988,59.41852,60.99345,1.54506,2.06681,4.57813,10.59532,53.86764,-1.67853,6.54557,7.80727,14.92707,-4.47876,0.26368
