기록,ST60_mV_처리전,ST60_mV_처리후,ST80_mV_처리전,ST80_mV_처리후,QT_ms_처리전,QT_ms_처리후,QTc_ms_처리전,QTc_ms_처리후,R진폭_mV_처리전,R진폭_mV_처리후,QRS면적_mVms_처리전,QRS면적_mVms_처리후
100,0.06739,0.05649,0.07147,0.07744,61.11111,277.77778,68.68296,313.12749,0.03866,0.09621,1.59486,6.92207
114,0.13141,0.04794,0.1362,0.05817,61.11111,101.38889,63.27138,112.36664,0.07238,0.23838,2.33097,8.48918
123,0.10037,0.18686,0.10488,0.19401,72.22222,55.55556,67.68085,51.29736,0.0579,0.17297,1.64113,5.65117
201,0.06741,0.05129,0.0706,0.05536,63.88889,72.22222,69.60243,72.82191,0.03474,0.23187,1.63857,5.8703
219,0.18965,0.08097,0.18656,0.0895,108.33333,152.77778,117.30947,166.14315,0.10431,0.19172,3.91307,5.89966
