epoch,train_total,train_recon,train_sup,train_sup_wave,train_sup_diff,train_sup_diff2,train_sup_freq,train_sup_e1,train_sup_e2,train_sup_e3,train_sup_e4,val_recon,val_sup,val_sup_e1,val_sup_e2,val_sup_e3,val_sup_e4,S,argmax_k,lr,sec,rho_e0,rho_e1,rho_e2,rho_e3
1,0.6667536652606466,0.23409725984801416,0.43265641383502795,0.13271811086198557,0.005998765892835091,0.010271614470579863,0.10930458164733389,0.6240182622619297,0.32490132587111514,0.4527419352013132,0.32896411645671597,0.037282316984953705,0.07561379194259643,0.18875,0.02471558173497518,0.05902526378631592,0.029964322249094646,0.08384265005588531,2.0,0.001,7.823085308074951,0.059015121310949326,0.053884975612163544,0.08384265005588531,0.051486216485500336
2,0.17733868438264597,0.03921220658104057,0.13812647597945255,0.0695473014012627,0.001371583481238264,0.0008609797628393964,0.05786194830485012,0.23572119228217914,0.05716254011444424,0.18805003360561703,0.07157213111286578,0.010863321940104167,0.06025371551513672,0.12141634941101075,0.03127877712249756,0.060955289204915365,0.02736444632212321,0.06765618920326233,2.0,0.001,7.346359491348267,0.045704517513513565,0.06644082069396973,0.06765618920326233,0.048361651599407196
3,0.1330140916549641,0.01486078167901091,0.11815330936856892,0.06109196271585381,0.0011412269162500033,0.000836518628563246,0.04820050169592318,0.174553830338561,0.05830162277688151,0.1736637787974399,0.06609400264594865,0.006237899893301505,0.05055444955825806,0.09663562774658203,0.02644105354944865,0.053454294204711914,0.025686822732289633,,,0.001,7.304046630859375,,,,
4,0.11458131120256755,0.010235583065482586,0.1043457281978234,0.05614106114143911,0.0009640933358636887,0.0007848827239206952,0.04145784740862639,0.15045559665431146,0.052542143541833626,0.15058787685373556,0.06379729703716609,0.007386309136284722,0.04800472537676494,0.08766615867614747,0.02613418658574422,0.05368556261062622,0.02453299363454183,0.06652072072029114,1.0,0.001,7.359304904937744,0.05574609711766243,0.06652072072029114,0.0534939207136631,0.0651453360915184
5,0.10105339372935503,0.008846536258478527,0.09220685777456863,0.052845153633667076,0.0007872340603448126,0.0007285551780470363,0.03754719006626502,0.13738371820553488,0.05025024955039439,0.11990438952394154,0.06128907317052717,0.007317548737702547,0.04241302073001861,0.07119067033131918,0.026196002960205078,0.04964876015981039,0.022616649468739827,,,0.001,7.3145763874053955,,,,
6,0.09259901843641115,0.007497579163021367,0.08510143957708192,0.05019675956472107,0.000698093598222603,0.0006807408973817592,0.03502011679760788,0.12616897050453268,0.050066641167454094,0.1041951856535414,0.059974961306737816,0.002602077229817708,0.03651813745498657,0.05744298060735067,0.027292307217915854,0.03986729462941488,0.021469967365264894,0.07755064964294434,3.0,0.001,7.36871337890625,0.0538037084043026,0.04829016700387001,0.045391228049993515,0.07755064964294434
7,0.08335466844880063,0.005596711907697761,0.07775795589322629,0.045566321715064674,0.0006438327254727483,0.0006479734058856317,0.030301034369546433,0.11165140698785367,0.04596649644815404,0.09465428603732068,0.05875964203606481,0.005949790219907407,0.032316131889820104,0.050801331202189125,0.019592940012613934,0.03873483816782634,0.020135418176651,,,0.001,7.313445091247559,,,,
8,0.07630603468936423,0.004709780388309256,0.07159625431117804,0.041911327158627304,0.0005936985379894791,0.0006163518207714609,0.02715448792213979,0.09944087882404742,0.044232037890216576,0.08646426511847455,0.056247833144405616,0.0014728827017324942,0.029900597929954528,0.04650355100631714,0.02004717985788981,0.03378866672515869,0.019262994130452474,0.0815013200044632,3.0,0.001,7.371849298477173,0.06380745023488998,0.05108233541250229,0.044883936643600464,0.0815013200044632
9,0.07735534595406574,0.006099768408128749,0.07125557699929112,0.04270991132311199,0.0005709133060325099,0.00059981692744338,0.029472797299208847,0.098900833207628,0.04714082149059876,0.08403609271930612,0.054944558636001915,0.007262306722005209,0.033099600176016486,0.04754357735315959,0.028591543833414713,0.03351821978886922,0.022745059728622438,,,0.001,7.333850145339966,,,,
10,0.0743203104838081,0.006066104574331447,0.06825420600564583,0.040430785845155304,0.0005564684169771879,0.0005925700078596888,0.026762883705289467,0.09324458889339281,0.04453505640444548,0.08140236949143202,0.0538348110149736,0.004998777770996094,0.029186294476191203,0.049359402656555175,0.018812073866526287,0.030407535235087078,0.018166166146596274,0.06401794403791428,0.0,0.001,7.364474296569824,0.06401794403791428,0.052860137075185776,0.043253324925899506,0.057072289288043976
