방식,분절수,corr,corr_sd,SSD,SSD_평균,RMSE,SNR_dB,dSNR_vs_입력,MAD,PRD,CosSim
A 성분차감,900,0.9034,0.0625,47.329,116.3972,0.1798,7.2407,6.5494,0.4121,28.5459,0.9613
B 심장직접,900,0.9185,0.0554,42.2325,107.3488,0.1727,7.7903,7.114,0.4257,26.2169,0.9688
C 마스킹디코드,900,0.9185,0.0554,42.2325,107.3488,0.1727,7.7903,7.114,0.4257,26.2169,0.9688
a 입력 x_noisy,900,0.7358,0.1018,229.86,419.507,0.3414,0.5623,0.0,0.8082,56.9937,0.8746
b M0 재구성,900,0.7349,0.1018,220.9697,406.8312,0.3362,0.7038,0.1509,0.7883,56.6426,0.879
