인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,1.9406,0.7112,8.1113,1.0388,7.8453,1.0444,7.7367,1.0508
enc2,7.6717,1.2861,2.0705,0.757,3.5193,0.9665,4.0109,0.8598
enc3,7.3305,1.2182,3.1075,0.8135,3.1201,0.8703,4.1584,0.6769
enc4,7.2103,1.3043,4.0682,0.8478,4.3691,0.7638,2.8411,0.7455
