순위,분절,분절점수,인코더,참조,corr,rmse_norm,mad
1,114_0082,0.8578,enc1,x_clean,0.9255,0.3859,3.9897
1,114_0082,0.8578,enc1,bw,0.0271,1.3949,6.6498
1,114_0082,0.8578,enc1,ma,0.0868,1.3515,6.6331
1,114_0082,0.8578,enc1,em,0.0777,1.3582,6.0925
1,114_0082,0.8578,enc2,x_clean,0.0249,1.3965,7.1761
1,114_0082,0.8578,enc2,bw,0.8481,0.5512,1.6248
1,114_0082,0.8578,enc2,ma,0.5323,0.9672,2.9669
1,114_0082,0.8578,enc2,em,0.5966,0.8982,2.7503
1,114_0082,0.8578,enc3,x_clean,0.0593,1.3716,6.3477
1,114_0082,0.8578,enc3,bw,0.5281,0.9715,2.4317
1,114_0082,0.8578,enc3,ma,0.8491,0.5494,2.9412
1,114_0082,0.8578,enc3,em,0.3517,1.1386,4.03
1,114_0082,0.8578,enc4,x_clean,0.1563,1.299,5.9981
1,114_0082,0.8578,enc4,bw,0.4814,1.0185,2.5488
1,114_0082,0.8578,enc4,ma,0.4731,1.0265,3.6017
1,114_0082,0.8578,enc4,em,0.8085,0.6188,2.5523
2,219_0137,0.8492,enc1,x_clean,0.7795,0.664,3.3057
2,219_0137,0.8492,enc1,bw,0.3017,1.1818,7.4632
2,219_0137,0.8492,enc1,ma,0.3284,1.159,6.9913
2,219_0137,0.8492,enc1,em,0.0224,1.3983,7.1327
2,219_0137,0.8492,enc2,x_clean,0.3573,1.1338,6.0176
2,219_0137,0.8492,enc2,bw,0.923,0.3925,1.7317
2,219_0137,0.8492,enc2,ma,0.8838,0.482,2.0023
2,219_0137,0.8492,enc2,em,0.0914,1.3481,5.0233
2,219_0137,0.8492,enc3,x_clean,0.5503,0.9484,5.8295
2,219_0137,0.8492,enc3,bw,0.5897,0.9059,1.7709
2,219_0137,0.8492,enc3,ma,0.6268,0.8639,2.4432
2,219_0137,0.8492,enc3,em,0.3161,1.1695,4.6647
2,219_0137,0.8492,enc4,x_clean,0.1267,1.3216,5.6375
2,219_0137,0.8492,enc4,bw,0.2167,1.2517,3.996
2,219_0137,0.8492,enc4,ma,0.2324,1.2391,4.4268
2,219_0137,0.8492,enc4,em,0.8106,0.6155,2.6162
3,100_0109,0.8444,enc1,x_clean,0.7563,0.6981,6.1254
3,100_0109,0.8444,enc1,bw,0.0617,1.3699,8.2666
3,100_0109,0.8444,enc1,ma,0.0292,1.3934,8.3002
3,100_0109,0.8444,enc1,em,0.0404,1.4425,7.7998
3,100_0109,0.8444,enc2,x_clean,0.124,1.3237,8.088
3,100_0109,0.8444,enc2,bw,0.8998,0.4476,1.0903
3,100_0109,0.8444,enc2,ma,0.6098,0.8834,2.5142
3,100_0109,0.8444,enc2,em,0.0823,1.4713,4.2239
3,100_0109,0.8444,enc3,x_clean,0.1387,1.3125,7.9032
3,100_0109,0.8444,enc3,bw,0.4361,1.0619,1.9224
3,100_0109,0.8444,enc3,ma,0.8864,0.4766,1.4236
3,100_0109,0.8444,enc3,em,0.1078,1.3358,3.635
3,100_0109,0.8444,enc4,x_clean,0.0513,1.3774,8.2404
3,100_0109,0.8444,enc4,bw,0.0161,1.4255,3.7245
3,100_0109,0.8444,enc4,ma,0.0948,1.3455,4.3022
3,100_0109,0.8444,enc4,em,0.835,0.5744,2.6202
