인코더,배정참조,corr,corr_sd,rmse_norm,mad,r_QRS,F1,누출_최대참조,누출_corr,누출비
enc1,x_clean,0.817,0.0767,0.5915,3.6751,0.9297,0.9639,bw,0.0748,0.0915
enc2,bw,0.6161,0.2531,0.8594,1.9995,0.0625,0.0004,ma,0.4111,0.6673
enc3,ma,0.5181,0.2434,0.9767,3.284,0.0664,0.0002,bw,0.3751,0.7239
enc4,em,0.5483,0.2144,0.9314,3.1448,0.279,0.0587,bw,0.3164,0.5771
