인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.817,0.0767,0.0748,0.0819,0.0675,0.0697,0.0576,0.0576
enc2,0.1143,0.1366,0.6161,0.2531,0.4111,0.2292,0.2802,0.2031
enc3,0.0984,0.1123,0.3751,0.2325,0.5181,0.2434,0.2123,0.156
enc4,0.1138,0.1042,0.3164,0.2102,0.2431,0.1746,0.5483,0.2144
