인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,3.6751,1.1223,8.01,0.9192,7.775,0.8953,7.6799,0.884
enc2,7.6662,1.2519,1.9995,0.7158,3.5624,0.9803,4.0669,0.8602
enc3,7.4966,1.1894,2.8426,0.7545,3.284,0.8691,4.1736,0.7356
enc4,7.4341,1.2367,3.5249,0.8469,4.1373,0.7939,3.1448,0.7055
