인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.5915,0.1268,1.3695,0.0754,1.3777,0.0626,1.3888,0.0556
enc2,1.3405,0.1251,0.8594,0.3435,1.1249,0.2963,1.2292,0.2283
enc3,1.359,0.1047,1.2036,0.3195,0.9767,0.3013,1.3161,0.1837
enc4,1.3394,0.0928,1.2043,0.2458,1.2791,0.1999,0.9314,0.2387
