인코더,x_clean,bw,ma,em,x_clean_sd,bw_sd,ma_sd,em_sd
enc1,0.9297,0.0579,0.0523,0.0656,0.0457,0.0451,0.0407,0.0534
enc2,0.0552,0.0625,0.0639,0.065,0.0493,0.0512,0.0629,0.0502
enc3,0.0584,0.0634,0.0664,0.0664,0.049,0.0522,0.0657,0.0527
enc4,0.0791,0.0568,0.0389,0.279,0.0645,0.0461,0.0338,0.2037
