,x_clean,bw,ma,em,x_clean_sd,bw_sd,ma_sd,em_sd
enc0,1.15,8.01,7.58,4.43,2.94,15.81,13.76,8.53
enc1,0.99,6.51,5.97,2.72,3.45,12.33,11.32,6.19
enc2,3.09,36.11,27.04,9.95,7.18,27.91,22.67,14.74
enc3,36.07,0.15,0.12,0.2,11.91,0.44,0.42,0.36
enc4,1.54,1.08,1.01,1.76,2.5,2.93,2.53,2.71
enc5,3.48,0.65,1.09,17.23,4.2,1.59,2.28,14.02
enc6,0.55,3.86,2.02,2.98,1.69,8.79,6.3,5.77
enc7,1.23,2.74,2.6,2.02,2.35,5.39,5.58,3.85
합계 (R²·%),48.08,59.12,47.44,41.28,9.34,21.9,19.01,14.34
