인코더,배정참조,corr,corr_sd,rmse_norm,mad,r_QRS,F1,누출_최대참조,누출_corr,누출비
enc1,x_clean,0.9178,0.0552,0.3892,1.6419,0.9797,0.961,em,0.1159,0.1263
enc2,bw,0.6386,0.2493,0.83,2.13,0.0618,0.4865,ma,0.4035,0.6319
enc3,ma,0.665,0.2148,0.787,2.8081,0.2975,0.2913,bw,0.3552,0.5341
enc4,em,0.686,0.1822,0.7637,2.6643,0.6578,0.2097,bw,0.2793,0.4072
