인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,1.6419,0.6221,8.1162,1.0882,7.8079,1.0804,7.7671,1.0499
enc2,7.6285,1.2368,2.13,0.7697,3.5627,0.9577,4.0674,0.8692
enc3,7.6354,1.3164,3.9944,1.0269,2.8081,0.8813,4.5697,0.7869
enc4,7.3039,1.2805,4.1463,0.8327,4.4236,0.7244,2.6643,0.7321
