대상,구분,집계분절,vlf,lf,qrs,hf
enc1,성분,900,0.0166,0.3624,0.427,0.194
enc2,성분,900,0.7146,0.2745,0.01,0.001
enc3,성분,900,0.4026,0.366,0.0363,0.1951
enc4,성분,900,0.1033,0.8197,0.0753,0.0017
x_clean,참조,900,0.034,0.3685,0.406,0.1916
bw,참조,900,0.8015,0.1862,0.0044,0.008
ma,참조,900,0.4841,0.3363,0.0238,0.1558
em,참조,900,0.167,0.712,0.1117,0.0093
입력 x_noisy,기준,900,0.1345,0.4125,0.3025,0.1504
M0 재구성,기준,900,0.1349,0.4115,0.3039,0.1498
