인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.9178,0.0552,0.0829,0.0839,0.1,0.0817,0.1159,0.0841
enc2,0.1235,0.1368,0.6386,0.2493,0.4035,0.2311,0.2848,0.2029
enc3,0.0976,0.1079,0.3552,0.2189,0.665,0.2148,0.1967,0.1487
enc4,0.1225,0.1087,0.2793,0.1852,0.2085,0.1513,0.686,0.1822
