인코더,x_clean,x_clean_sd,bw,bw_sd,ma,ma_sd,em,em_sd
enc1,0.3892,0.1135,1.3568,0.0721,1.3446,0.068,1.3305,0.0704
enc2,1.3298,0.1241,0.83,0.3435,1.1292,0.2914,1.2222,0.2269
enc3,1.3692,0.1042,1.1955,0.2796,0.787,0.2653,1.3095,0.165
enc4,1.3264,0.0913,1.208,0.1864,1.273,0.1502,0.7637,0.2212
