방식,분절수,corr,corr_sd,SSD,SSD_평균,RMSE,SNR_dB,dSNR_vs_입력,MAD,PRD,CosSim
A 성분차감,900,0.856,0.082,77.6256,171.838,0.2185,5.1378,4.549,0.5386,35.5267,0.9395
B 심장직접,900,0.817,0.0767,131.8705,206.9351,0.2398,3.1889,2.7723,1.0445,44.692,0.9008
C 마스킹디코드,900,0.817,0.0767,131.8705,206.9351,0.2398,3.1889,2.7723,1.0445,44.692,0.9008
a 입력 x_noisy,900,0.7358,0.1018,229.86,419.507,0.3414,0.5623,0.0,0.8082,56.9937,0.8746
b M0 재구성,900,0.6691,0.1058,243.1769,412.0926,0.3383,0.2391,-0.2822,1.1446,60.1394,0.8401
