분절,record_id,seg_idx,인코더,참조,rho
0,100,0,enc1,x_clean,0.020084666965542643
0,100,0,enc1,bw,-0.053572757614898894
0,100,0,enc1,ma,-0.25461075028775204
0,100,0,enc1,em,0.2834595635664051
0,100,0,enc2,x_clean,-0.07214522849867595
0,100,0,enc2,bw,0.06522648772514061
0,100,0,enc2,ma,-0.06189703007654088
0,100,0,enc2,em,0.1732789356311044
0,100,0,enc3,x_clean,0.04155455122666262
0,100,0,enc3,bw,0.7125005873157972
0,100,0,enc3,ma,0.4146712189014094
0,100,0,enc3,em,0.28396611129461785
0,100,0,enc4,x_clean,0.5926684684062745
0,100,0,enc4,bw,-0.028011978681471063
0,100,0,enc4,ma,-0.05320719187483757
0,100,0,enc4,em,-0.04062078039508047
0,100,0,enc5,x_clean,-0.04151050678475269
0,100,0,enc5,bw,-0.6918309894687559
0,100,0,enc5,ma,-0.14827268429819393
0,100,0,enc5,em,-0.2918031153678469
0,100,0,enc6,x_clean,0.09432439887142974
0,100,0,enc6,bw,0.42222480963599485
0,100,0,enc6,ma,0.1843271755707604
0,100,0,enc6,em,0.07210263598439182
0,100,0,enc7,x_clean,0.01039136312390542
0,100,0,enc7,bw,-0.3317906883374685
0,100,0,enc7,ma,-0.014776930174127933
0,100,0,enc7,em,-0.28031427028437855
0,100,0,enc8,x_clean,0.07198178520645843
0,100,0,enc8,bw,-0.19554986192591742
0,100,0,enc8,ma,-0.09701639310849824
0,100,0,enc8,em,0.3339759013265991
1,100,1,enc1,x_clean,0.04617297614312325
1,100,1,enc1,bw,0.2693949467984923
1,100,1,enc1,ma,-0.16083600205828602
1,100,1,enc1,em,0.3494284950514457
1,100,1,enc2,x_clean,0.0016707044943981932
1,100,1,enc2,bw,0.5499876241002981
1,100,1,enc2,ma,0.2435212680028233
1,100,1,enc2,em,0.12113701691760678
1,100,1,enc3,x_clean,0.004079646700897765
1,100,1,enc3,bw,0.4264280895085107
1,100,1,enc3,ma,0.5554022799949243
1,100,1,enc3,em,0.19042278302444887
1,100,1,enc4,x_clean,0.6833277589241008
1,100,1,enc4,bw,-0.11113274037849591
1,100,1,enc4,ma,-0.12124719315436194
1,100,1,enc4,em,-0.045756483508658526
1,100,1,enc5,x_clean,0.0023328129136868225
1,100,1,enc5,bw,-0.5106348774796964
1,100,1,enc5,ma,-0.34546028019982905
1,100,1,enc5,em,0.06211391352364327
1,100,1,enc6,x_clean,0.01540150211214075
1,100,1,enc6,bw,-0.03400417823534773
1,100,1,enc6,ma,0.1034450511559964
1,100,1,enc6,em,0.31427037651200984
1,100,1,enc7,x_clean,0.011460475218476353
1,100,1,enc7,bw,0.24242462089179337
1,100,1,enc7,ma,-0.1629187900096752
