,x_clean_r,x_clean_RMSE,x_clean_기여%,bw_r,bw_RMSE,bw_기여%,ma_r,ma_RMSE,ma_기여%,em_r,em_RMSE,em_기여%
enc1,0.179±0.161,0.2133,4.3,0.092±0.106,0.1420,0.2,0.085±0.098,0.1419,0.4,0.354±0.155,0.1183,13.0
enc2,0.100±0.067,0.3136,1.3,0.562±0.238,0.1845,30.4,0.434±0.209,0.2081,13.5,0.335±0.186,0.2184,9.6
enc3,0.767±0.058,0.1939,58.3,0.018±0.014,0.3251,0.0,0.016±0.013,0.3248,0.0,0.028±0.021,0.3280,0.1
enc4,0.084±0.072,0.2164,0.7,0.474±0.234,0.1170,15.2,0.470±0.245,0.1193,21.8,0.300±0.165,0.1374,7.1
