run,epoch,5-15Hz,15-25Hz,25-40Hz,40-60Hz*,60-90Hz*,꺾임_0.7Hz,꺾임_0.5Hz,기울기_입력,기울기_재구성,기울기차
K4_seed42,48,0.8691819182313794,0.5647441978431111,0.2658341069085656,0.037009375647869616,0.06549114643455178,5.625,21.4453125,-3.4769006221898273,-6.148000849970565,-2.6711002277807374
SV1_K4_seed42,47,0.503656855627725,0.11848006392879798,0.017353179049097604,0.005386917308411718,0.03386617896255098,5.2734375,9.140625,-3.4769006221898273,-6.314774345396724,-2.837873723206897
