encoder,reference,r_mean,r_sd,r_median,rmse_median,rmse_mean,ref_rms_median,share_pct
enc1,x_clean,0.07075023715467393,0.06322533065160332,0.0560225840834059,0.2233376409282354,0.2751540203961477,0.20359736206028267,-0.17516664385778138
enc1,bw,0.6532126807427489,0.2508415332014754,0.7404796989712545,0.09426285249587558,0.10650483834797411,0.11850539146529052,40.00484943184141
enc1,ma,0.38531974350404197,0.22115067264777416,0.3552431387826907,0.13202920354188716,0.1495732573744971,0.113957869221856,5.367241547137908
enc1,em,0.26995363665933847,0.19527067195614714,0.22372998826272317,0.13963102783915446,0.15797006499057575,0.11346391938077256,4.6585906162526
enc2,x_clean,0.062313887584880184,0.05769172144545254,0.05146214780061782,0.21416977875961296,0.265852989515486,0.20359736206028267,0.13317210623177167
enc2,bw,0.4234256096571656,0.25011378842273885,0.4252370298789475,0.12067042553319746,0.1392690372322345,0.11850539146529052,8.979449803081925
enc2,ma,0.5937851462735453,0.23439119245815712,0.6397800029779166,0.09003026158085382,0.10367159333693361,0.113957869221856,35.768126035855715
enc2,em,0.1981815624721708,0.15526606017747435,0.15649449798655535,0.1336687634557331,0.14992686093371646,0.11346391938077256,3.3285117612251036
enc3,x_clean,0.07186208510412481,0.06271031954568951,0.05611751497259117,0.22161368617923993,0.26395752913730625,0.20359736206028267,0.358950900386471
enc3,bw,0.31215709893657856,0.2013322487868637,0.3001387205516495,0.1279995098786384,0.145923270377956,0.11850539146529052,2.8836177448864633
enc3,ma,0.23302503851379175,0.1737408945053933,0.18946041661741123,0.1335501125130159,0.15033309071184645,0.113957869221856,2.069131482585715
enc3,em,0.5462703589113268,0.20242472598469224,0.5703780294343838,0.09349141515191559,0.10389951219593278,0.11346391938077256,32.93710916850322
enc4,x_clean,0.1570199019362571,0.08378151710966017,0.15453831893614373,0.28594744884716305,0.32315367906656983,0.20359736206028267,5.803299227839955
enc4,bw,0.5632295775362807,0.2387459617484412,0.629467595590233,0.17611825424343946,0.19581516701987522,0.11850539146529052,13.495283655535047
enc4,ma,0.4713111779448135,0.2302150409656183,0.5013254323443912,0.19205337330989086,0.21111609162401423,0.113957869221856,12.62758573632772
enc4,em,0.32193610546330564,0.18358931812053708,0.31173676955491125,0.20406862662451142,0.23839491708766702,0.11346391938077256,5.560585305893335
