에폭,val_recon,S,S기여_x_clean,S기여_bw,S기여_ma,S기여_em,corr_x_clean_최고인코더,corr_bw_최고인코더,corr_ma_최고인코더,corr_em_최고인코더
88,0.0175,0.5018,0.6514,0.5978,0.4816,0.2763,enc4,enc3,enc3,enc3
78,0.0174,0.5016,0.6459,0.6,0.4839,0.2766,enc4,enc3,enc3,enc3
68,0.0186,0.5014,0.6439,0.6001,0.4847,0.2769,enc4,enc3,enc3,enc3
74,0.0181,0.5009,0.6472,0.5989,0.4811,0.2765,enc4,enc3,enc3,enc3
66,0.0172,0.5008,0.6432,0.6002,0.483,0.2766,enc4,enc3,enc3,enc3
