run,dx_resid_clean,dx_resid_bw,dx_resid_ma,dx_resid_em,dx_rpeak_ratio
K8_seed42,0.19967363579278924,0.05487193402545024,0.1344853779419205,0.19391647701153322,0.900775659195451
K8_seed202,0.2950002456024222,0.053252974667164915,0.1088956881617262,0.18788013721660374,0.8962668926420501
K8_seed2026,0.3743120889448627,0.05083814739406167,0.10291016165434061,0.1992823628390326,0.8493364544603714
K4_seed42,0.3786900051587737,0.038916379417320394,0.08489144966401958,0.1438629889602876,0.8252843704096566
K4_seed202,0.3230419639704881,0.030567202074536125,0.11176096162201365,0.21630713523001882,0.872692004877313
K4_seed2026,0.048249273679119783,0.04129198367794923,0.10448890703349101,0.1395440486988644,1.0153185036908494
