run,epoch,keep_full,keep_band,rmse_to_noisy,rmse_to_clean,denoise_ok_frac,pass_keep,pass_denoise,PASS
K8_seed42,88,0.9212635030609195,0.5792624815255709,0.12504742098260402,0.22228071051922688,1.0,False,True,False
K8_seed202,57,0.8501010848037824,0.6287776320713012,0.13106335187031026,0.22930736318993292,1.0,False,True,False
K8_seed2026,46,0.78541018403253,0.568054555243626,0.1343514622291962,0.22722316735166592,1.0,False,True,False
K4_seed42,48,0.814415341412684,0.48712867495193946,0.11619828197308872,0.22558128239422504,1.0,False,True,False
K4_seed202,84,0.8092419742875631,0.5443932408596837,0.11694532830494822,0.22513747237060538,1.0,False,True,False
K4_seed2026,178,1.0686599674713442,0.843141348080383,0.11975366628771064,0.22741521950415344,1.0,True,True,True
