epoch,train_total,train_recon,train_sup,train_sup_wave,train_sup_diff,train_sup_diff2,train_sup_freq,train_sup_e1,train_sup_e2,train_sup_e3,train_sup_e4,val_recon,val_sup,val_sup_e1,val_sup_e2,val_sup_e3,val_sup_e4,S,argmax_k,lr,sec,rho_e0,rho_e1,rho_e2,rho_e3
1,0.7378921858642412,0.2990135634722917,0.43887863405372785,0.13679198953120605,0.006041733036830049,0.0102096787026233,0.11227826288212901,0.6460917306982953,0.3254648417882297,0.4535761929076651,0.33038183706610097,0.08374398328993056,0.08476355075836182,0.23062934557596843,0.02652608394622803,0.05549547831217448,0.026403295199076336,0.14827720820903778,2.0,0.001,7.738366365432739,0.06282556802034378,0.06871289014816284,0.14827720820903778,0.06441786885261536
2,0.2779636357141578,0.12014685668375182,0.15781677935434424,0.07535235551388367,0.0016492885213507259,0.000847463645344681,0.061279165032117264,0.32463929575422534,0.04981757813821668,0.1931176755739295,0.06369257783112318,0.04387256944444445,0.08181860705216726,0.22421037991841633,0.025009159247080484,0.05325815836588542,0.024796730677286785,0.3605516254901886,2.0,0.001,7.310239553451538,0.11484494805335999,0.189682275056839,0.3605516254901886,0.2648980915546417
3,0.21339383462200995,0.06582171243170033,0.1475721221903096,0.0663116378304751,0.0016252096620914729,0.0008547146900799935,0.05152618334345196,0.2901646287544914,0.047367209325666015,0.19090358200280563,0.06185306576283082,0.032368858506944445,0.07778513729572296,0.2152363936106364,0.020930264790852863,0.05297851880391439,0.0219953719774882,,,0.001,7.181629657745361,,,,
4,0.18133821824322577,0.050488089899653976,0.13085012785766437,0.05525456660467645,0.0015119112390295966,0.000870680459268877,0.04005102246351864,0.23135868751484415,0.0452546342883421,0.18764176770396854,0.059145422409410064,0.024455845811631946,0.06272773951292038,0.15985674063364666,0.020260958671569823,0.05017122427622477,0.020622034470240275,0.6059163212776184,0.0,0.001,7.28968358039856,0.6059163212776184,0.16245834529399872,0.2167319655418396,0.2389049082994461
5,0.15849288326242697,0.04266507923603058,0.11582780402639638,0.04899353728346203,0.0013366853160297742,0.0008688487983106271,0.033948246956519455,0.17667259535063867,0.04422530013581981,0.18550081291924353,0.0569125054323155,0.01976278121383102,0.05290784736474355,0.11947439511617025,0.021102548440297443,0.0496401309967041,0.02141431490580241,,,0.001,7.162918567657471,,,,
6,0.14708226206509964,0.03859092797274175,0.1084913349022036,0.0466432198882103,0.0012369623012921732,0.0008467065838530012,0.03167265062422856,0.15023768272088922,0.04393622068607289,0.18398819345494974,0.05580324064130369,0.031058599175347222,0.05127240528662999,0.11391038099924723,0.021478611628214517,0.04886270602544149,0.02083792249361674,0.8096431493759155,0.0,0.001,7.25033164024353,0.8096431493759155,0.14082659780979156,0.1746552437543869,0.2602962255477905
7,0.13762445002794266,0.03306136701418006,0.1045630830137626,0.04520961626068405,0.0011870693567249439,0.0008364956086987387,0.03053585326542025,0.13610292258469955,0.04351299158904864,0.18371038462804712,0.05492603616869968,0.015136160843460648,0.043130881786346435,0.08552812258402506,0.01922274390856425,0.04838613510131836,0.01938652555147807,,,0.001,7.319863557815552,,,,
8,0.13538795515247012,0.03408916853368282,0.10129878637583359,0.044291153226209724,0.0011401526559063275,0.0008278832360899643,0.030377609979199326,0.124513137275758,0.04326183073546575,0.1830329188834066,0.054387257150981735,0.01453666087962963,0.04280910104513168,0.08351443926493327,0.019619495868682862,0.04854884147644043,0.019553627570470175,0.8624531030654907,0.0,0.001,7.343923568725586,0.8624531030654907,0.11810759454965591,0.15609228610992432,0.2601396441459656
9,0.12746618007836136,0.02952696188636448,0.09793921948775001,0.04240093493591184,0.0011107656831407676,0.0008187499960236576,0.02836003389371478,0.11393861310637515,0.04218629132146421,0.1826401683299438,0.052991805841093476,0.012406438530815972,0.03976372679074605,0.07230584780375163,0.019351908365885417,0.0478561274210612,0.01954102357228597,,,0.001,7.304058790206909,,,,
10,0.1219849055228026,0.026342291465919952,0.09564261429983636,0.04119348023896632,0.0010889826656278708,0.0008144345584973369,0.0272566185373327,0.10559061590744101,0.0418839391482913,0.18308807002461475,0.05200782742189324,0.012676974826388888,0.039286364217599234,0.07273495356241862,0.018254732290903727,0.047809704939524335,0.018346066077550252,0.8840563893318176,0.0,0.001,7.259648084640503,0.8840563893318176,0.1103060320019722,0.16400094330310822,0.25351056456565857
11,0.12069875584996265,0.026782822835704555,0.09391593317622723,0.04056541848441829,0.0010670102985940225,0.0008058709335391936,0.02702728002939535,0.10057359804277835,0.04184146095877108,0.18200973065003104,0.051238943215297615,0.01081620822482639,0.03787803341945012,0.06659739176432292,0.01837174574534098,0.048075695037841794,0.0184673011302948,,,0.001,7.189762353897095,,,,
12,0.11687113215094028,0.024808128161922745,0.0920630029362181,0.03955121419352034,0.0010502357820413358,0.0007995477695341991,0.025898011077357376,0.09554916101953258,0.041366740737272346,0.1810029861719712,0.050333122034435684,0.009922011311848958,0.03601269453763962,0.06085528373718262,0.0181845490137736,0.047196743488311765,0.017814201911290486,0.9028908014297485,0.0,0.001,7.284075498580933,0.9028908014297485,0.0997239202260971,0.1423662006855011,0.2254379540681839
13,0.1148821345489958,0.023798818335584972,0.0910833160514417,0.03907165190447932,0.001040233294074626,0.0007981744584748926,0.025923963555175324,0.09160257973100829,0.041202260262292366,0.18192126634328262,0.04960715884099836,0.013519721137152777,0.03762411832809448,0.06273677508036296,0.019906876087188722,0.04800004323323568,0.019852778911590575,,,0.001,7.190388441085815,,,,
14,0.1143791552471078,0.023626725715787514,0.09075242961230486,0.038933907352063965,0.0010363704464195864,0.0007949365890058486,0.025559083032219307,0.09017443203407785,0.04171572560849397,0.18159665232119354,0.0495229075136392,0.008919582564742477,0.034566404322783156,0.05611395676930746,0.01794066588083903,0.04698328892389933,0.017227705717086792,0.9098528027534485,0.0,0.001,7.2240025997161865,0.9098528027534485,0.08952043205499649,0.11967580020427704,0.21150533854961395
15,0.11189456316440002,0.022329353686908016,0.08956520939650743,0.03825862462753835,0.0010261316910264609,0.0007893135872386072,0.025342203271777733,0.08822643627291141,0.04080587690291197,0.1803288874418839,0.048899635672569275,0.009235212764033565,0.03473380357027054,0.05649626572926839,0.017929610013961792,0.04716774304707845,0.01734159549077352,,,0.001,7.219904184341431,,,,
16,0.11006957033406133,0.021536370010479637,0.0885332003235817,0.03767803003606589,0.0010171033943112454,0.000787932802821793,0.02469122345032899,0.08467760260986246,0.04074245156801265,0.1805085688829422,0.04820417580397233,0.011129217529296876,0.035618374049663545,0.05860423405965169,0.018675050735473632,0.04752939224243164,0.01766481916109721,0.9113436937332153,0.0,0.001,7.264609098434448,0.9113436937332153,0.08669852465391159,0.10142453014850616,0.19563257694244385
17,0.11037874610527702,0.02208305952017722,0.08829568553230037,0.037628832718600395,0.0010133370726733751,0.0007842119717363106,0.024485279765465984,0.08495084034359973,0.04110911294170048,0.1792610378369041,0.04786175100699715,0.007203786101164641,0.03230917930603027,0.049186383883158366,0.01768203894297282,0.04615251620610555,0.01621577819188436,,,0.001,7.2370030879974365,,,,
18,0.10779861781908118,0.0204905243995397,0.08730809358151062,0.03694912515904592,0.001007179350025304,0.0007826037573344681,0.024086062917890755,0.08210078983203224,0.0407363586127758,0.17902666006399237,0.04736856500739637,0.012118102349175347,0.03605609993139902,0.05900195757548014,0.019009552796681723,0.04770674784978231,0.018506141503651936,0.918287456035614,0.0,0.001,7.262439966201782,0.918287456035614,0.08185138553380966,0.09452918916940689,0.19344861805438995
19,0.11720093501650769,0.026785810518523922,0.09041512530782948,0.039759042794289795,0.0010131216410587988,0.0007848758351705644,0.027938085729661194,0.08863189395355142,0.043233025333155754,0.18052080986292465,0.04927477191971696,0.009534108479817708,0.03447995126247406,0.05874244530995687,0.017428791125615437,0.045915379524230956,0.015833189090092976,,,0.001,7.222417593002319,,,,
20,0.1088018232713575,0.021145375607454258,0.08765644839276439,0.03657384864662005,0.0010216519965425782,0.0007864605640466123,0.02343417938960635,0.08488175208153932,0.04025751546673153,0.17888283988703851,0.046603683706211006,0.00834357751916956,0.03279748558998108,0.05049327294031779,0.017986676692962646,0.046550960540771485,0.016159032185872394,0.9139982461929321,0.0,0.001,7.460569858551025,0.9139982461929321,0.08662736415863037,0.10314401239156723,0.17340736091136932
21,0.10820100164931754,0.021824068106386974,0.08637693329997685,0.03622970559998699,0.0010029445478247235,0.000777883151465136,0.02369546566320502,0.08149000840342563,0.040119872306999954,0.1776611144128053,0.046236736295015915,0.007506938340928819,0.03269558519124985,0.05194621721903483,0.017128509283065797,0.04588883797327677,0.01581877628962199,,,0.001,7.284619569778442,,,,
22,0.10349081003147623,0.018542406999546547,0.08494840335586797,0.0353266761192809,0.000992434532077902,0.0007761058843006258,0.02271860627376515,0.07759793847799301,0.039665724920189896,0.1769377712322318,0.04559217587761257,0.006289039894386574,0.031211146016915638,0.04616935888926188,0.01765097181002299,0.045592400232950844,0.015431853135426839,0.9198119640350342,0.0,0.001,7.297487020492554,0.9198119640350342,0.08197516202926636,0.08190874010324478,0.16133441030979156
23,0.10260647276173467,0.018098430951004444,0.08450804197269937,0.03513515789223754,0.0009874576657160144,0.0007754335756940038,0.02279887955797755,0.07584748676289683,0.039866893511751426,0.1768281479244647,0.04548964082546856,0.006291829992223669,0.03098639766375224,0.045593913396199545,0.017908754746119183,0.04533240954081218,0.015110512971878052,,,0.001,7.2776899337768555,,,,
24,0.10442500885414041,0.020106763133536213,0.08431824620651163,0.03517650991030361,0.0009828347221786237,0.0007716073558422859,0.02297318904944088,0.07636840997830681,0.03982163317825483,0.17600454713987268,0.04507839857884075,0.006396350436740451,0.030417941113313036,0.04454559803009033,0.01702933152516683,0.044929941495259605,0.015166893402735393,0.9244801998138428,0.0,0.001,7.266578912734985,0.9244801998138428,0.08172360807657242,0.08710616081953049,0.16150282323360443
25,0.1061073454177898,0.021632286436531856,0.08447505890027336,0.03531565962602263,0.0009831880123111541,0.0007724486969654326,0.02340199571588765,0.07637696227301723,0.0399956363050834,0.1763495789921802,0.04517806094625722,0.008920167371961805,0.03159580359856287,0.048893102010091144,0.017310710350672404,0.04519501209259033,0.014984389940897624,,,0.001,7.2080066204071045,,,,
26,0.10268368183270744,0.01863645701466695,0.0840472245345945,0.034899042352386146,0.000982963634432172,0.0007736703745372918,0.022414952759509502,0.07488762360552083,0.03991905875180079,0.17654642009216806,0.04483579536495001,0.006685395304361979,0.030263011356194813,0.04320665677388509,0.01739072283109029,0.045279496510823566,0.015175169308980305,0.9237696528434753,0.0,0.001,7.260616302490234,0.9237696528434753,0.07696118950843811,0.080459825694561,0.14678344130516052
27,0.10265808163777641,0.01896600967840008,0.08369207252626834,0.03472577173100865,0.0009793260327094922,0.000771268518925037,0.02260621118804683,0.07421566351600316,0.03993026685455571,0.17619844234508017,0.04442391965700233,0.0066974399142795136,0.030486367344856262,0.04527113517125447,0.016932582855224608,0.044977076053619384,0.014764675299326579,,,0.001,7.222214698791504,,,,
28,0.10135585037262543,0.01830198680577071,0.08305386324291644,0.0342842581803384,0.000975392080600495,0.000769454249403561,0.022075220456589825,0.07361301131870436,0.039544563254584435,0.1749986364789631,0.04405923641246298,0.007788340250651042,0.0305173588792483,0.04479719003041585,0.016971677541732788,0.045110526084899905,0.015190041859944662,0.9261854887008667,0.0,0.001,7.2875261306762695,0.9261854887008667,0.07577656209468842,0.08159700036048889,0.13562019169330597
29,0.10468046464349913,0.020940897135954838,0.08373956738606743,0.03470034630078336,0.0009807844458998222,0.0007707610291064433,0.022953131276628246,0.0753939692740855,0.039703316014745964,0.17567438470280689,0.04418660165823024,0.010159939010054977,0.031023996472358702,0.04658503214518229,0.016947720050811767,0.045627479553222654,0.014935754140218098,,,0.001,7.240367650985718,,,,
30,0.10132255858701208,0.018602628746758335,0.08271992951631546,0.03400138117696928,0.0009743709638512329,0.0007684415272113098,0.02210213333044363,0.07306442312572313,0.03941891957884249,0.17478907367457513,0.04360730055233707,0.006798237779405382,0.029891942540804545,0.04243728478749593,0.017494176228841144,0.045062745412190755,0.014573563734690348,0.924786388874054,0.0,0.001,7.322302341461182,0.924786388874054,0.07945068925619125,0.07216233015060425,0.13598503172397614
31,0.0999247279504071,0.017322480597573776,0.08260224727184876,0.03376062352048314,0.0009768324924389954,0.0007727717140527523,0.021890133295370186,0.07162822912568631,0.039274159656918564,0.1759115386268367,0.04359506572718206,0.006214818205656829,0.030097581446170803,0.04287905216217041,0.017669938007990518,0.04518005847930908,0.014661277135213216,,,0.001,7.222741365432739,,,,
