인코더,에폭,x_clean,bw,ma,em
enc1,48,0.5638901050375101,0.28111731877322493,0.2717178472137855,0.2566850095213595
enc2,48,0.5126613123684616,0.26644663344627056,0.2672357729574311,0.2666698618442971
enc3,48,0.4382921678824686,0.4936217554246448,0.5133390803430913,0.5414201209793437
enc4,48,0.3972387535095578,0.38275057762957476,0.38083811009039475,0.37970918419438066
enc5,48,0.5326944075573078,0.17051832456781585,0.17117559016420206,0.16876053913322733
enc6,48,0.4968568025942729,0.26194634670663813,0.27204879041228053,0.2666216320690884
enc7,48,0.5314295790613583,0.16161077938218962,0.1672412940764186,0.16791466403490388
enc8,48,0.5148131401563704,0.3317379533877383,0.3310923844752226,0.3162459957430124
enc1,88,0.554255917770281,0.2819745238155821,0.2722906990654166,0.2550334850467002
enc2,88,0.49361306288648565,0.2926039661593863,0.28963434853058895,0.2875852152096229
enc3,88,0.430628529916478,0.4976224930671207,0.515742420255666,0.5435727400808446
enc4,88,0.39635888139919323,0.3785694503872211,0.3765224892507094,0.37539374461749947
enc5,88,0.5327419549198211,0.17287016797285557,0.17389763658183852,0.17104109980654844
enc6,88,0.4863255680851083,0.2549824987050105,0.26080956502276165,0.2518871369410947
enc7,88,0.525787217116917,0.16475097852762846,0.16896747144897312,0.1698922478274424
enc8,88,0.4960537182798065,0.3187458419326707,0.31685171446043825,0.3017662722718629
