인코더,에폭,x_clean,bw,ma,em
enc1,48,0.16057146237976522,0.21771643490021286,0.2165622426355817,0.24175728708633762
enc2,48,0.0875162454043307,0.40455382562886993,0.315370667338309,0.20890335664670417
enc3,48,0.13021392221248243,0.6018727441543716,0.4767901299952988,0.27541400799949345
enc4,48,0.6414416954572337,0.07351607266097984,0.0632349902202757,0.0642987189224937
enc5,48,0.08960717752055143,0.29824528881416934,0.277056381890988,0.16130601492886715
enc6,48,0.11212315564393414,0.34695010296727957,0.29293636685538266,0.26341758719593156
enc7,48,0.08623138081556986,0.38120215210512814,0.2924333672348108,0.20187041671851802
enc8,48,0.16101858741114922,0.2043840536857955,0.1689683864429688,0.17543407584255077
enc1,88,0.16244862045335187,0.19366785414595422,0.1955057701202505,0.24058099216529955
enc2,88,0.08860779287415708,0.4032358780577644,0.31996916215381577,0.2046159553306485
enc3,88,0.13116959791306956,0.5978128000892992,0.48161408313334686,0.2762875807189546
enc4,88,0.6514173837215433,0.07146042957178449,0.06182909800753991,0.06381917441552261
enc5,88,0.08809612371520538,0.3087359577489805,0.2712961270232395,0.1675985041479961
enc6,88,0.1059576622283965,0.3027451038371351,0.2603768182582954,0.2503149930217805
enc7,88,0.08586579380359688,0.3510934268183856,0.27659875876864287,0.18274879995895857
enc8,88,0.16954140943593235,0.16713130470585827,0.13861892378427662,0.16881119067686762
