인코더,에폭,x_clean,bw,ma,em
enc1,48,3.089202163959994,2.3099525616215444,3.2951691863289714,6.584288725544838
enc2,48,0.9896907097612808,8.847903098181293,4.536591978623949,3.77448332016593
enc3,48,2.6685103377647876,35.4157852923625,28.499754658250875,9.548785911055687
enc4,48,42.94505874360961,0.28155701051589116,0.2261797243520487,0.39220480806412783
enc5,48,0.8677430865531988,6.503066119205333,5.828075394287039,2.6796277442749
enc6,48,1.2433068676358807,5.866941103755908,5.375585436358229,7.299187030713669
enc7,48,0.8923832315671728,9.381191897893697,5.080524705036823,3.6350270994645295
enc8,48,3.109282367458084,2.6312539971027618,1.950186830401373,3.4732325727866193
enc1,88,2.6869795695812693,1.9487141682890479,2.7077918774276504,6.455945364145155
enc2,88,0.9550257614433048,9.058412347336473,4.256357630768273,3.4136754822519912
enc3,88,2.8257813458302157,35.85747916466268,28.645477485454734,9.677574073106749
enc4,88,43.72540707584623,0.25940175611279565,0.22999934718901205,0.40451276943254366
enc5,88,0.9777171486178968,7.165646009932167,6.2950869606586215,3.128319655161908
enc6,88,1.0781962432999166,4.887457393891263,4.575349143898489,6.803142270707614
enc7,88,0.7526875006018937,8.016336643271229,4.8455107556997685,3.393440013275194
enc8,88,3.113447526909411,1.6666724372525716,1.3308071816393656,3.356477479587283
