인코더,에폭,x_clean,bw,ma,em
enc1,48,1.2924992702921063,1.244690844611782,1.2449164415963303,1.2251145536398427
enc2,48,1.3481676477634712,1.0659989969021901,1.1560469890105245,1.250156298120018
enc3,48,1.3126597014524797,0.8447117369482027,0.9948835352218203,1.18990162760576
enc4,48,0.8388560980210312,1.360240412757471,1.3680318948040875,1.3673799102562259
enc5,48,1.3471242114231115,1.1685378033985205,1.1903589522274556,1.2904104312091336
enc6,48,1.3287288312364698,1.123677142764809,1.1764742362904455,1.2057040438647255
enc7,48,1.3495619343907854,1.087270566326757,1.1769298338191925,1.2568567200706322
enc8,48,1.2931218437843186,1.2542780551851311,1.284713032934481,1.2801223624368012
enc1,88,1.2911373127978507,1.264947474450442,1.2629656911611264,1.2261775078289894
enc2,88,1.3474806321422546,1.0680669388906305,1.1515482445893677,1.2536935462285637
enc3,88,1.3119994435452158,0.8491390665436759,0.98995601869252,1.1893788885672003
enc4,88,0.8265674679061382,1.3618846209913265,1.3691946407224813,1.3677457894821041
enc5,88,1.3482981617712615,1.161510886598638,1.1964443866894812,1.2854547026878844
enc6,88,1.3340935769842968,1.1670433014539174,1.2057286699588348,1.217346421089791
enc7,88,1.3500903628813785,1.11860955367139,1.1913545635789193,1.2726899587615546
enc8,88,1.2865928644152438,1.2854923903314253,1.3093205286871856,1.2857944974360536
