epoch,train_total,train_recon,train_mixing,train_zero_recon,train_z_l2,val_recon,val_separation,sep_base,n_dup,tops,clean_max_corr,max_pair_corr,min_energy_ratio,n_dead,lr,sec,corr_e0_x_clean,corr_e1_x_clean,corr_e2_x_clean,corr_e3_x_clean,corr_e4_x_clean,corr_e5_x_clean,corr_e6_x_clean,corr_e7_x_clean,corr_e0_bw,corr_e1_bw,corr_e2_bw,corr_e3_bw,corr_e4_bw,corr_e5_bw,corr_e6_bw,corr_e7_bw,corr_e0_ma,corr_e1_ma,corr_e2_ma,corr_e3_ma,corr_e4_ma,corr_e5_ma,corr_e6_ma,corr_e7_ma,corr_e0_em,corr_e1_em,corr_e2_em,corr_e3_em,corr_e4_em,corr_e5_em,corr_e6_em,corr_e7_em
1,0.42451209477756335,0.3876927903164988,3.5768233693164326,0.10510715291551921,2.044198155403137,0.17870048014322917,-0.12742678523063655,0.3225732147693634,3,2222,0.11393142491579056,0.5284858345985413,0.07423713803291321,0,0.001,4.727376461029053,0.09889945387840271,0.09354782849550247,0.11393142491579056,0.0851585641503334,0.07891177386045456,0.10023927688598633,0.08257365226745605,0.08770156651735306,0.3984735906124115,0.4274398684501648,0.5262138247489929,0.3736132085323334,0.342425137758255,0.42562243342399597,0.33506253361701965,0.3358393609523773,0.3375280201435089,0.3082086741924286,0.40336108207702637,0.2981986701488495,0.30148741602897644,0.33072629570961,0.2807028889656067,0.29729485511779785,0.20876212418079376,0.21618998050689697,0.246786430478096,0.1990814208984375,0.19282382726669312,0.22503437101840973,0.18809325993061066,0.20090804994106293
2,0.2406905604445416,0.20495230153850888,3.555010287658028,0.01881580578122774,2.999953135200169,0.12988243272569444,-0.14569638371467586,0.3043036162853241,3,2222,0.1160794049501419,0.529582679271698,0.0598561130464077,0,0.001,4.41064715385437,0.07933356612920761,0.09938836097717285,0.1160794049501419,0.0870501771569252,0.08068922162055969,0.09827880561351776,0.08560629934072495,0.08084375411272049,0.30913451313972473,0.3709825277328491,0.49234840273857117,0.3828447163105011,0.33838167786598206,0.42361539602279663,0.34721964597702026,0.3067011833190918,0.2922949194908142,0.29732632637023926,0.378009170293808,0.3209652602672577,0.3023076355457306,0.35374754667282104,0.3171800374984741,0.2782686650753021,0.16381318867206573,0.1784590631723404,0.23077747225761414,0.18384157121181488,0.18231026828289032,0.20696434378623962,0.17930971086025238,0.17720212042331696
3,0.2270345512939536,0.19240069972432178,3.4602095873459526,0.003175455342937747,3.2729474979898203,0.12892275887948496,-0.14753795862197872,0.30246204137802124,3,2222,0.114207923412323,0.500415027141571,0.045741453766822815,0,0.001,4.338099479675293,0.07816942036151886,0.09497173875570297,0.114207923412323,0.08500240743160248,0.07949863374233246,0.09521883726119995,0.08175031840801239,0.08118893206119537,0.30574050545692444,0.3397122919559479,0.4868082106113434,0.37352439761161804,0.3290098011493683,0.39105984568595886,0.3181551396846771,0.30759313702583313,0.28895512223243713,0.29212281107902527,0.3771933615207672,0.32712429761886597,0.29932457208633423,0.3311598598957062,0.303205668926239,0.287414014339447,0.16568118333816528,0.1779533177614212,0.23163872957229614,0.18580567836761475,0.1704464554786682,0.19928066432476044,0.17059896886348724,0.1736305207014084
4,0.22272823038308517,0.1889048186333283,3.373324902161308,0.00901667113699343,3.3411052434340767,0.125853845666956,-0.1440415203571319,0.30595847964286804,3,2222,0.11411476880311966,0.4957263171672821,0.07717901468276978,0,0.001,4.280874252319336,0.07765832543373108,0.09353028982877731,0.11411476880311966,0.09775351732969284,0.08764760196208954,0.09400639683008194,0.10066797584295273,0.08973442018032074,0.2987844944000244,0.3247106969356537,0.4975593388080597,0.3287026584148407,0.354360431432724,0.43030881881713867,0.36190924048423767,0.31011685729026794,0.28154456615448,0.26909705996513367,0.37956148386001587,0.3095291554927826,0.32954463362693787,0.33893880248069763,0.318246990442276,0.27542218565940857,0.16264058649539948,0.16731442511081696,0.23259826004505157,0.21369874477386475,0.18681348860263824,0.215781107544899,0.20653240382671356,0.1771220564842224
5,0.21058088476243225,0.17779857956844827,3.2718954189963965,0.0063350524338286205,3.396072646845942,0.12185039152922454,0.004328888654708873,0.30432888865470886,2,2223,0.11447355151176453,0.4494115114212036,0.07808900624513626,0,0.001,4.299026727676392,0.08952875435352325,0.09070927649736404,0.11447355151176453,0.09169351309537888,0.08237643539905548,0.09952836483716965,0.08256883919239044,0.0866880789399147,0.2687322795391083,0.3490927219390869,0.45189711451530457,0.3183656930923462,0.32663875818252563,0.3812129497528076,0.3506694734096527,0.3485430181026459,0.27638867497444153,0.2842356562614441,0.3576759099960327,0.2631427049636841,0.2768777906894684,0.3111131191253662,0.291792631149292,0.30519938468933105,0.1904221475124359,0.19532863795757294,0.21492479741573334,0.29326894879341125,0.18921904265880585,0.20444610714912415,0.20482434332370758,0.1831357777118683
6,0.19472749207330786,0.1629916682191517,3.171157857646113,0.0024244162739942903,3.3640260385430376,0.11083283374927662,0.028057289123535167,0.32805728912353516,2,2223,0.11807366460561752,0.5005514025688171,0.0703292265534401,0,0.001,4.310218095779419,0.09163501113653183,0.08790888637304306,0.11807366460561752,0.1052035242319107,0.09232206642627716,0.10100402683019638,0.09943778067827225,0.08877497911453247,0.2744068205356598,0.3529285490512848,0.5072124004364014,0.24635742604732513,0.35205215215682983,0.41430020332336426,0.41020452976226807,0.35780179500579834,0.27550509572029114,0.28958481550216675,0.3943031430244446,0.2058640420436859,0.31196674704551697,0.34070318937301636,0.3274730145931244,0.30271220207214355,0.19556155800819397,0.18705923855304718,0.23624110221862793,0.29263997077941895,0.18517360091209412,0.23167835175991058,0.23992779850959778,0.19941416382789612
7,0.19016377174335977,0.15952344044395114,3.062185629554417,0.0018477270293616407,3.3414392989614736,0.12744318531177662,0.03998045325279237,0.33998045325279236,2,3223,0.13265050947666168,0.5339750051498413,0.0625244602560997,0,0.001,4.311641216278076,0.09879232943058014,0.08690355718135834,0.1205657348036766,0.13265050947666168,0.08758454024791718,0.10776476562023163,0.1082547977566719,0.09470055252313614,0.24517019093036652,0.36616143584251404,0.5344770550727844,0.19117490947246552,0.3385125398635864,0.4393121302127838,0.4084851145744324,0.3524570167064667,0.254947304725647,0.29403775930404663,0.4154273569583893,0.16885335743427277,0.2978687882423401,0.35623568296432495,0.3304668366909027,0.296239972114563,0.1979871690273285,0.19020570814609528,0.2464059293270111,0.27736690640449524,0.1872197687625885,0.23522013425827026,0.2349587231874466,0.18840233981609344
8,0.18162893601085828,0.15193119969057,2.96801235364831,0.0017614013492635897,3.393569915190987,0.10501711018880208,0.03666929602622987,0.33666929602622986,2,3223,0.13016724586486816,0.49195218086242676,0.05297384783625603,0,0.001,4.349057197570801,0.11770492047071457,0.08422430604696274,0.11822424829006195,0.13016724586486816,0.08419431746006012,0.10195551812648773,0.0977644994854927,0.09130900353193283,0.2774208188056946,0.35567983984947205,0.52640700340271,0.16235439479351044,0.33100196719169617,0.43057942390441895,0.42983418703079224,0.36515793204307556,0.25866732001304626,0.2921263575553894,0.4147455394268036,0.1601777970790863,0.27367717027664185,0.3383629024028778,0.34155499935150146,0.3103175759315491,0.21166053414344788,0.18389730155467987,0.24617302417755127,0.27535733580589294,0.19311939179897308,0.2247142493724823,0.22739574313163757,0.194016233086586
9,0.17349896288436392,0.1448358653680138,2.8649087055869726,0.0014009525032673516,3.318570955939915,0.0997163006817853,0.05619390010833741,0.3561939001083374,2,3223,0.14971734583377838,0.5238715410232544,0.072567418217659,0,0.001,4.3563079833984375,0.13747581839561462,0.07666818052530289,0.12318184226751328,0.14971734583377838,0.08131004869937897,0.10790430754423141,0.09793978929519653,0.08911553770303726,0.2677405774593353,0.31919246912002563,0.5587777495384216,0.14984510838985443,0.3182385265827179,0.4275885820388794,0.3809501528739929,0.3774460256099701,0.2579043209552765,0.28524211049079895,0.4446517527103424,0.14850182831287384,0.2649727463722229,0.34658944606781006,0.3358612358570099,0.3141196668148041,0.22204403579235077,0.18273939192295074,0.25297924876213074,0.2716286778450012,0.18172621726989746,0.23219506442546844,0.22862018644809723,0.19871968030929565
10,0.1610923785230388,0.13328528047903723,2.779685704604439,0.0010242158946905124,3.2327867279882017,0.09014551685474537,0.05843759775161744,0.35843759775161743,2,3222,0.17672249674797058,0.47284919023513794,0.06418529152870178,0,0.001,4.378447532653809,0.1407032608985901,0.08205562084913254,0.12306133657693863,0.17672249674797058,0.08145935833454132,0.10921590775251389,0.10549205541610718,0.08642543107271194,0.2720259130001068,0.382240355014801,0.5558598637580872,0.11825375258922577,0.32619383931159973,0.40123769640922546,0.389419287443161,0.37040039896965027,0.26940780878067017,0.2987160384654999,0.44884151220321655,0.11631955951452255,0.2653222382068634,0.3249270021915436,0.3182699680328369,0.3173748850822449,0.2021052986383438,0.1958787441253662,0.25232642889022827,0.23244673013687134,0.1906527727842331,0.25205424427986145,0.24455788731575012,0.19912739098072052
