epoch,train_total,train_recon,train_mixing,train_zero_recon,train_z_l2,val_recon,val_separation,sep_base,n_dup,tops,clean_max_corr,max_pair_corr,min_energy_ratio,n_dead,lr,sec,corr_e0_x_clean,corr_e1_x_clean,corr_e2_x_clean,corr_e3_x_clean,corr_e0_bw,corr_e1_bw,corr_e2_bw,corr_e3_bw,corr_e0_ma,corr_e1_ma,corr_e2_ma,corr_e3_ma,corr_e0_em,corr_e1_em,corr_e2_em,corr_e3_em
1,0.38854189022727637,0.36927971697371936,1.5301695232805999,0.25823949131628743,1.3780790541483008,0.15974689172815393,0.007564258575439464,0.30756425857543945,2,2212,0.11187878251075745,0.6977449655532837,0.2161567062139511,0,0.001,3.6969752311706543,0.08854889124631882,0.10854146629571915,0.11187878251075745,0.10623985528945923,0.33838391304016113,0.4294201731681824,0.5181415677070618,0.5066422820091248,0.28645870089530945,0.363680362701416,0.35361120104789734,0.352831095457077,0.17815323173999786,0.20326043665409088,0.23655623197555542,0.23519815504550934
2,0.22195546264233795,0.20507912208204684,1.5229671519735586,0.010162473185514302,1.5450454483861509,0.13728189199942128,0.039972883462905895,0.3399728834629059,2,2232,0.11641955375671387,0.6566333174705505,0.04646539315581322,0,0.001,3.224578380584717,0.11235015839338303,0.11546522378921509,0.11641955375671387,0.1133643388748169,0.43933942914009094,0.474560409784317,0.5549232363700867,0.4354765713214874,0.3990739583969116,0.4014413356781006,0.4370254874229431,0.4390887916088104,0.2151012271642685,0.22613798081874847,0.24945998191833496,0.20601098239421844
3,0.20728421664756277,0.1909858305817065,1.504873073619345,0.004605795679431732,1.2035973953164143,0.13195986373336227,0.04518784284591676,0.34518784284591675,2,3232,0.11844030767679214,0.6892938613891602,0.10102429986000061,0,0.001,3.21246600151062,0.11275193095207214,0.1181071549654007,0.11644824594259262,0.11844030767679214,0.4398057162761688,0.5124231576919556,0.5579249262809753,0.5037471652030945,0.40163105726242065,0.4266238212585449,0.41545119881629944,0.4489571154117584,0.21666298806667328,0.23602989315986633,0.2554290294647217,0.24239566922187805
4,0.19975275513918503,0.18365580620973007,1.4863612133523691,0.015993294992570198,1.0734043924704841,0.11869853606047454,0.19110257029533387,0.34110257029533386,1,3203,0.13003577291965485,0.649262547492981,0.06653773039579391,0,0.001,3.216644048690796,0.11950252950191498,0.12218019366264343,0.12002253532409668,0.13003577291965485,0.47914108633995056,0.5053415894508362,0.5346131324768066,0.43360084295272827,0.4414142072200775,0.42415934801101685,0.4150860905647278,0.4268195927143097,0.23003153502941132,0.2349536418914795,0.25586238503456116,0.25834712386131287
5,0.18414603173732758,0.16846410541430765,1.4663561634395434,0.005143975188927826,0.9669239987497744,0.11077564493815104,0.3757697641849518,0.3757697641849518,0,1203,0.1251773089170456,0.620360255241394,0.09456208348274231,0,0.001,3.1883671283721924,0.12164981663227081,0.1251773089170456,0.12431886792182922,0.11968468874692917,0.4456787705421448,0.49692681431770325,0.5459688901901245,0.27689406275749207,0.429146945476532,0.42592304944992065,0.42301231622695923,0.26653310656547546,0.2248014658689499,0.23521949350833893,0.2774197459220886,0.40278586745262146
6,0.1753545597843502,0.16005180193030316,1.4434151804965476,0.0015377116037795888,0.8532302224117777,0.10257027633101852,0.22279966473579407,0.37279966473579407,1,3203,0.14689262211322784,0.6406510472297668,0.09718220680952072,0,0.001,3.1828606128692627,0.12493392825126648,0.12328565865755081,0.12777188420295715,0.14689262211322784,0.46990329027175903,0.5064446330070496,0.5268491506576538,0.25683221220970154,0.4480217397212982,0.43839314579963684,0.4081948399543762,0.24713796377182007,0.23335115611553192,0.2420908659696579,0.2871251404285431,0.36943522095680237
7,0.16715176533097806,0.152151128196198,1.4198964471402375,0.0009808543665871105,0.7918652581131976,0.10524340368200231,0.2247764527797699,0.3747764527797699,1,3203,0.1710890531539917,0.6239824891090393,0.10714226216077805,0,0.001,3.2120232582092285,0.12431037425994873,0.12654459476470947,0.12912651896476746,0.1710890531539917,0.4678312838077545,0.49206972122192383,0.5398621559143066,0.1953313797712326,0.44362249970436096,0.42202237248420715,0.4150398373603821,0.1935899555683136,0.2375081330537796,0.23842884600162506,0.2893127501010895,0.3445321321487427
8,0.164221888003142,0.14941253545491592,1.3981828534084817,0.005436074383475859,0.7731632486633633,0.09909108027705439,0.22170130014419556,0.37170130014419556,1,3203,0.19585488736629486,0.6195366978645325,0.11935069411993027,0,0.001,3.2189290523529053,0.12558667361736298,0.11879655718803406,0.12177081406116486,0.19585488736629486,0.47769081592559814,0.49259069561958313,0.5188269019126892,0.16103148460388184,0.44392669200897217,0.42695173621177673,0.4020761549472809,0.15707728266716003,0.23991413414478302,0.23473595082759857,0.2755199074745178,0.32819679379463196
9,0.15093104411726413,0.13630696969187778,1.3793670457342397,0.0043277034293050355,0.7871283992477085,0.09003136867947048,0.07921375036239625,0.37921375036239624,2,3003,0.25060683488845825,0.6273379325866699,0.12746460735797882,0,0.001,3.205662250518799,0.13008533418178558,0.12430763244628906,0.13258817791938782,0.25060683488845825,0.4892430305480957,0.4862360656261444,0.47062134742736816,0.09135609865188599,0.4690239429473877,0.4242735505104065,0.377884179353714,0.09962327778339386,0.24905969202518463,0.2386198490858078,0.29802948236465454,0.3079811930656433
10,0.13835986671240433,0.12399421502714572,1.3604880623195483,0.0018448287307325265,0.7423239402149034,0.08392925460250289,0.4109030067920685,0.4109030067920685,0,3102,0.3285730183124542,0.639081597328186,0.10714651644229889,0,0.001,3.17801833152771,0.12841734290122986,0.12767143547534943,0.14013157784938812,0.3285730183124542,0.48279333114624023,0.5044057369232178,0.4512413740158081,0.08389995247125626,0.4608800709247589,0.42932724952697754,0.36620259284973145,0.08516396582126617,0.2457110583782196,0.2421875,0.3497532606124878,0.22815567255020142
