epoch,train_total,train_recon,train_sup,train_sup_wave,train_sup_diff,train_sup_diff2,train_sup_freq,train_sup_e1,train_sup_e2,train_sup_e3,train_sup_e4,val_recon,val_sup,val_sup_e1,val_sup_e2,val_sup_e3,val_sup_e4,S,argmax_k,lr,sec,rho_e0,rho_e1,rho_e2,rho_e3
1,0.6205107893632806,0.3516079524289007,0.2689028323992439,0.16553861161936884,0.0020672843902898226,0.0016543728947315526,0.19508684426546097,0.4690788984298706,0.14389709448036941,0.2889116840518039,0.17372364064921503,0.1292771199544271,0.14460365851720175,0.2683614794413249,0.09121670405069987,0.12006532192230225,0.09877112865447998,0.05507730692625046,1.0,0.001,9.921231746673584,0.053170837461948395,0.05507730692625046,0.05005161464214325,0.04743201658129692
2,0.4692981411581454,0.26895055628341175,0.2003475829311039,0.11836035258096197,0.0016397446110520673,0.0008271908711480057,0.13862238014521805,0.4116264037463976,0.07882378039800603,0.21384895560534103,0.09709119278451671,0.10922353108723959,0.08727355559666952,0.2488730049133301,0.023224573135375976,0.05001503070195516,0.026981613636016845,0.05754061043262482,1.0,0.001,9.611451148986816,0.04054291546344757,0.05754061043262482,0.04409664869308472,0.05260497331619263
3,0.38034699922022613,0.21363517771596494,0.16671181826487833,0.08461336856303008,0.0016419689990985005,0.0008281402836513261,0.07644968771416208,0.3570154633211053,0.052057260242493256,0.1890467010114504,0.06872785026612489,0.10628917778862847,0.09607204735279085,0.2476512654622396,0.03349184115727743,0.06388793150583903,0.03925715128580729,,,0.001,9.628978252410889,,,,
4,0.3527767995129461,0.1930416349483573,0.15973516909972482,0.07775714475175609,0.0016395605331205804,0.0008264812033461487,0.06811726303852123,0.34293590032536053,0.046069773642913155,0.18354620557764303,0.0663888010641803,0.09822631496853299,0.09133640229701996,0.24975004196166992,0.022884096304575604,0.05971028327941894,0.033001187642415365,0.060446109622716904,1.0,0.001,9.607551097869873,0.046943653374910355,0.060446109622716904,0.04901554435491562,0.05561114475131035
5,0.33424154831015546,0.17828047664269156,0.15596106907595758,0.07389153151408485,0.001641390784441129,0.0008271725483886573,0.06287594398726588,0.33638916585756384,0.04275527596473694,0.18154077102308688,0.06315907139493071,0.0795507558186849,0.07827132026354472,0.22742214838663738,0.0164038093884786,0.046807511647542314,0.022451811631520588,,,0.001,9.563536167144775,,,,
6,0.3181182755076367,0.16565436578315237,0.15246391102023746,0.07063162666947945,0.0016366457060465345,0.0008251185493503252,0.06007621890824774,0.3331442540106566,0.04063821227654167,0.17795444765816565,0.05811872835392538,0.07986457994249133,0.07924131919940312,0.23127581278483073,0.016559427579243977,0.04656972487767538,0.022560311555862425,0.08226300030946732,3.0,0.001,9.625332832336426,0.07271961122751236,0.06361981481313705,0.056501589715480804,0.08226300030946732
7,0.31676401521848596,0.16485428421393686,0.1519097335960554,0.07007397873246152,0.001636715059209129,0.0008256952809777273,0.059353779839432755,0.3316547663315483,0.04126120553068493,0.17713931591614432,0.05758364450024522,0.0779232177734375,0.07806663364171983,0.2251427173614502,0.017692461013793945,0.046800738175710045,0.02263061801592509,,,0.001,9.140712976455688,,,,
8,0.3116241136322851,0.16063531650149304,0.1509888003701749,0.06917454448083173,0.001636285177917908,0.000825656342583344,0.058299536776283516,0.32944126491961273,0.0405859045036461,0.17648125472276108,0.057446786728890045,0.08960001797146268,0.08128456234931945,0.23842175165812174,0.017569117148717246,0.047059683005015056,0.022087697585423786,0.09631447494029999,3.0,0.001,9.230588436126709,0.08893038332462311,0.061419613659381866,0.05264129862189293,0.09631447494029999
9,0.30454979383427166,0.1553997183623521,0.14915007676767267,0.0674678210331046,0.0016336451416187313,0.0008245693600696067,0.05661610076608865,0.32455902902976325,0.03999425697585811,0.1758408099412918,0.056206216954666634,0.07959251064724393,0.0794175491730372,0.23041093190511067,0.017562231222788494,0.04649562120437622,0.023201412359873455,,,0.001,9.196401357650757,,,,
10,0.29909441134204034,0.15134861676589303,0.14774579457614734,0.0658574033042659,0.0016377678333336244,0.0008294344677225403,0.054137555639380996,0.3197473080261894,0.04002285894492398,0.17632165356822635,0.05489135906100273,0.0697326151529948,0.07678733299175898,0.2226262633005778,0.017254818677902222,0.045766977469126384,0.021501272519429526,0.10721803456544876,0.0,0.001,9.267520904541016,0.10721803456544876,0.06334976106882095,0.050109442323446274,0.09634067118167877
11,0.29597917976586713,0.1493219985910084,0.14665718376636505,0.0650173349548941,0.0016327970104454005,0.000828529034903192,0.05254414612832277,0.3146995565165644,0.04037275424470072,0.17597323396931525,0.05558319211654041,0.07364862738715278,0.07876293847958248,0.22774469057718913,0.017700623671213785,0.04691964308420817,0.02268679658571879,,,0.001,9.192424774169922,,,,
